time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001369,0.0795,-0.1187,0.0201,0.144
0.003848,-0.2533,0.2481,-0.6755,0.763
0.008818,-0.3595,0.2480,-0.5594,0.710
0.017510,-0.0945,-0.0931,0.0991,0.166
0.018549,0.1585,-0.2895,0.3266,0.464
0.023506,0.3284,-0.3616,0.2055,0.530
0.029783,0.3970,-0.3393,0.0844,0.529
0.034258,0.3510,-0.2467,0.0969,0.440
0.039304,0.2245,-0.1268,0.0667,0.266
0.043840,0.0991,-0.0409,0.0368,0.113
0.049359,0.0034,0.0257,0.0357,0.044
0.054684,-0.0297,0.0494,0.0156,0.060
0.064639,-0.0341,0.0495,0.0480,0.077
0.065247,-0.0336,0.0306,0.0804,0.092
0.068918,-0.0474,0.0262,0.0606,0.081
0.075601,-0.0659,0.0265,0.0648,0.096
0.079802,-0.0843,0.0360,0.0454,0.102
0.084518,-0.0645,0.0361,0.0166,0.076
0.089375,-0.0687,0.0219,-0.0118,0.073
0.093998,-0.0395,0.0077,-0.0354,0.054
0.099042,-0.0154,-0.0062,-0.0494,0.052
0.105000,0.0181,-0.0295,-0.0539,0.064
0.110600,0.0466,-0.0573,-0.0205,0.077
0.119096,0.0607,-0.0990,-0.0351,0.121
0.119646,0.0651,-0.1212,-0.0448,0.145
0.123831,0.0553,-0.1480,-0.0496,0.166
0.130061,0.0218,-0.1697,-0.0069,0.171
0.135988,-0.0113,-0.1865,0.0023,0.187
0.139832,-0.0347,-0.2174,0.0302,0.222
0.145504,-0.0389,-0.2385,0.0720,0.252
0.149567,-0.0288,-0.2595,0.1087,0.283
0.155681,-0.0236,-0.2709,0.0977,0.289
0.166957,-0.0090,-0.2683,0.0772,0.279
0.167442,0.0007,-0.2420,0.0758,0.254
0.178643,0.0103,-0.2067,0.0650,0.217
0.179023,0.0198,-0.1765,0.0305,0.180
0.179338,0.0102,-0.1610,0.0105,0.162
0.193808,0.0101,-0.1363,0.0048,0.137
0.194109,-0.0042,-0.0975,-0.0058,0.098
0.194340,-0.0184,-0.0877,0.0121,0.090
0.200211,-0.0276,-0.0730,0.0202,0.081
0.205180,-0.0320,-0.0537,0.0231,0.067
0.208854,-0.0316,-0.0489,0.0211,0.062
0.214056,-0.0217,-0.0347,0.0046,0.041
0.219569,-0.0071,-0.0491,-0.0119,0.051
0.223203,0.0168,-0.0635,-0.0235,0.070
0.229272,0.0263,-0.0637,-0.0304,0.075
0.234518,0.0594,-0.0734,-0.0279,0.098
0.239011,0.0685,-0.0690,-0.0302,0.102
0.243883,0.0870,-0.0647,-0.0184,0.110
0.248578,0.0816,-0.0510,0.0123,0.097
0.254876,0.0667,-0.0376,0.0334,0.084
0.264017,0.0329,-0.0292,0.0447,0.063
0.264492,0.0088,-0.0208,0.0465,0.052
0.269769,-0.0103,-0.0127,0.0386,0.042
0.276203,-0.0293,-0.0049,0.0307,0.043
0.279102,-0.0813,0.0124,0.0229,0.085
0.284059,-0.1045,0.0152,0.0248,0.108
0.288347,-0.1180,0.0466,0.0315,0.131
0.293081,-0.1360,0.0588,0.0334,0.152
0.299356,-0.1254,0.0712,0.0258,0.147
0.303604,-0.0911,0.0695,0.0042,0.115
0.310327,-0.0475,0.0586,0.0017,0.075
0.316596,-0.0137,0.0574,0.0231,0.063
0.318162,0.0103,0.0373,0.0396,0.055
0.323217,0.0293,0.0411,0.0415,0.065
0.328106,0.0483,0.0496,-0.0041,0.069
0.334302,0.0385,0.0579,0.0029,0.070
0.339431,0.0098,0.0850,0.0050,0.086
0.344672,-0.0235,0.1069,0.0168,0.111
0.349246,-0.0423,0.1478,0.0241,0.156
0.354398,-0.0609,0.2071,-0.0159,0.216
0.359107,-0.0367,0.2803,-0.0125,0.283
0.363977,0.0158,0.3672,-0.0376,0.369
0.376412,0.0630,0.4249,-0.0670,0.435
0.377201,0.1100,0.4728,-0.0819,0.492
0.382389,0.1470,0.5157,-0.1011,0.546
0.382819,0.1695,0.5346,-0.0914,0.568
0.388298,0.1680,0.5439,-0.0768,0.574
0.394144,0.1381,0.5438,-0.0764,0.566
0.402263,0.1227,0.5108,-0.0666,0.530
0.410722,0.1075,0.4829,-0.0570,0.498
0.411153,0.0735,0.4649,-0.0523,0.474
0.413697,0.0255,0.4330,-0.0187,0.434
