time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000874,-0.2676,0.1241,0.3157,0.432
0.005096,-0.2034,-0.0137,0.2306,0.308
0.007955,0.0090,-0.1516,0.0165,0.153
0.014357,0.3548,-0.2713,-0.1971,0.488
0.019226,0.5278,-0.3826,-0.2049,0.683
0.024631,0.6047,-0.4956,-0.2655,0.826
0.029182,1.7138,-0.9037,-0.8193,2.104
0.033984,1.4243,-0.8088,-0.6643,1.768
0.038786,0.3696,-0.3852,-0.1823,0.564
0.045109,-0.4492,-0.0521,0.6047,0.755
0.049920,-0.7788,0.1198,0.8635,1.169
0.056045,-0.6773,0.1351,0.5391,0.876
0.062447,-0.4660,0.1225,0.2021,0.522
0.065564,-0.2358,0.1005,0.0146,0.257
0.069312,-0.1206,0.1074,-0.1060,0.193
0.074409,0.0471,0.0570,-0.1649,0.181
0.080895,0.0377,0.1121,0.0045,0.118
0.090909,0.0191,0.1246,0.1870,0.225
0.091429,-0.0281,0.1185,0.2396,0.269
0.095233,-0.0274,0.0938,0.1489,0.178
0.099422,-0.1509,0.1127,0.0873,0.208
0.118749,-0.2358,0.1277,0.0446,0.272
0.119065,-0.2201,0.0621,-0.0315,0.231
0.119284,-0.2711,0.0691,-0.0120,0.280
0.119495,-0.1021,0.0430,0.1748,0.207
0.125894,0.3440,-0.0797,0.0417,0.356
0.132825,0.9418,-0.6014,-0.3993,1.187
0.133866,0.6491,-0.3545,0.3453,0.816
0.141440,0.4190,-0.2566,0.7186,0.871
0.145300,0.2229,-0.2826,0.3588,0.508
0.151481,0.1706,-0.2125,-0.0109,0.273
0.157831,0.1279,-0.0759,-0.0507,0.157
0.158482,0.0661,-0.0592,-0.0616,0.108
0.165197,0.0043,-0.0335,0.0042,0.034
0.170658,-0.0384,-0.0036,0.1224,0.128
0.179454,-0.1003,-0.0217,0.0973,0.141
0.179950,-0.1382,-0.0639,0.0820,0.173
0.186866,-0.1570,-0.0583,0.0718,0.182
0.191075,-0.1183,-0.0863,0.0712,0.163
0.204986,-0.0559,-0.0953,0.0804,0.137
0.205282,0.0255,-0.0854,0.0800,0.120
0.205482,0.0733,-0.0472,0.0651,0.109
0.210212,0.1162,-0.0141,0.0884,0.147
0.214695,0.1447,-0.0005,0.0686,0.160
0.220070,0.1540,0.0322,0.0582,0.168
0.224367,0.1250,0.0598,0.0382,0.144
0.229220,0.1151,0.0874,0.0274,0.147
0.235483,0.0958,0.0910,0.0357,0.137
0.240008,0.0764,0.0946,0.0485,0.131
0.244080,0.0333,0.1031,0.0564,0.122
0.250448,-0.0146,0.1116,0.0641,0.130
0.254632,-0.0481,0.1011,0.0861,0.141
0.262586,-0.0719,0.0956,0.1035,0.158
0.263128,-0.0766,0.0615,0.1115,0.149
0.269963,-0.0717,0.0420,0.1149,0.142
0.275231,-0.0619,0.0324,0.0945,0.118
0.279963,-0.0378,0.0373,0.0834,0.099
0.294389,0.0055,0.0183,0.1051,0.107
0.295190,0.0631,-0.0056,0.0975,0.116
0.295649,0.0872,-0.0535,0.0559,0.117
0.298723,0.0777,-0.0921,0.0525,0.131
0.314538,0.0491,-0.1403,0.0685,0.164
0.315056,0.0061,-0.1745,0.0704,0.188
0.315308,-0.0178,-0.1944,0.0868,0.214
0.318944,-0.0417,-0.1761,0.0936,0.204
0.324578,-0.0607,-0.1722,0.0860,0.202
0.329340,-0.0511,-0.1827,0.0643,0.200
0.334559,-0.0175,-0.1740,0.0570,0.184
0.339611,-0.0032,-0.2037,0.0353,0.207
0.345216,0.0112,-0.2286,0.0470,0.234
0.350816,-0.0032,-0.2486,0.0682,0.258
0.355387,-0.0127,-0.2638,0.0944,0.280
0.360950,-0.0414,-0.2981,0.1255,0.326
0.363877,-0.0653,-0.2892,0.1614,0.338
0.369901,-0.0553,-0.2642,0.1817,0.325
0.374366,-0.0549,-0.2538,0.1971,0.326
0.379788,-0.0545,-0.2529,0.1885,0.320
0.389723,-0.0588,-0.2474,0.1516,0.296
0.391698,-0.0537,-0.2325,0.1057,0.261
0.395157,-0.0628,-0.2130,0.0601,0.230
0.399411,-0.0529,-0.1841,0.0292,0.194
0.404935,-0.0383,-0.1555,0.0080,0.160
0.409284,-0.0238,-0.1222,0.0153,0.125
0.413578,-0.0284,-0.1035,0.0036,0.107
0.431640,-0.0187,-0.0801,0.0015,0.082
0.432433,0.0099,-0.0663,0.0089,0.068
0.432869,0.0241,-0.0528,0.0209,0.062
0.433267,0.0428,-0.0395,0.0279,0.065
0.439844,0.0424,-0.0407,0.0299,0.066
0.445427,0.0230,-0.0182,0.0321,0.043
0.449482,0.0180,-0.0149,0.0343,0.041
0.454146,-0.0061,-0.0164,0.0272,0.032
0.459222,-0.0061,-0.0083,0.0109,0.015
0.465222,-0.0110,-0.0003,-0.0194,0.022
0.470377,-0.0252,0.0220,-0.0352,0.049
0.478963,-0.0251,0.0442,-0.0269,0.058
0.479515,-0.0297,0.0711,-0.0330,0.084
0.493297,0.0037,0.1121,-0.0295,0.116
0.493698,-0.0059,0.1290,-0.0499,0.138
0.493932,0.0036,0.1460,-0.0795,0.166
0.499642,0.0035,0.1722,-0.1087,0.204
0.503480,0.0177,0.2078,-0.1375,0.250
0.508596,0.0270,0.2337,-0.1564,0.282
0.513931,0.0409,0.2689,-0.1751,0.323
0.520167,0.0642,0.3132,-0.2077,0.381
0.525186,0.0826,0.3572,-0.2210,0.428
0.529081,0.0723,0.4103,-0.2577,0.490
0.535128,0.0811,0.4535,-0.2893,0.544
0.539869,0.0756,0.5061,-0.3158,0.601
0.543421,0.0559,0.5299,-0.3039,0.613
0.549301,0.0364,0.5488,-0.2919,0.623
0.553965,-0.0020,0.5489,-0.2656,0.610
0.559714,-0.0304,0.5207,-0.2534,0.580
0.565700,-0.0492,0.5073,-0.2508,0.568
0.568771,-0.0582,0.4752,-0.2148,0.525
0.578785,-0.0624,0.4342,-0.1837,0.476
0.580161,-0.0570,0.4081,-0.1575,0.441
0.603836,-0.0326,0.3585,-0.1123,0.377
0.604333,-0.0132,0.3380,-0.0863,0.349
0.604554,-0.0034,0.3225,-0.0842,0.333
0.604790,0.0157,0.3120,-0.0725,0.321
0.605007,0.0111,0.3113,-0.0847,0.323
0.607904,0.0112,0.3012,-0.0825,0.312
0.614628,0.0161,0.2866,-0.0992,0.304
0.620026,0.0162,0.2628,-0.1014,0.282
0.625261,0.0164,0.2347,-0.0939,0.253
0.629543,-0.0025,0.2022,-0.0769,0.216
0.635098,-0.0163,0.1703,-0.0315,0.174
0.639508,-0.0301,0.1577,0.0231,0.162
0.644774,-0.0342,0.1360,0.0677,0.156
0.648590,-0.0334,0.1004,0.1169,0.158
0.655454,-0.0375,0.0890,0.1468,0.176
0.659448,-0.0462,0.0968,0.1576,0.191
0.663140,-0.0501,0.0950,0.1732,0.204
0.668369,-0.0493,0.0885,0.1792,0.206
0.673051,-0.0531,0.0775,0.1615,0.187
0.680710,-0.0379,0.0621,0.1914,0.205
0.685781,-0.0229,0.0278,0.2116,0.215
0.688617,-0.0126,-0.0061,0.2079,0.208
0.695181,0.0118,-0.0491,0.2042,0.210
0.697745,0.0408,-0.0868,0.1862,0.209
0.703947,0.0506,-0.1052,0.1779,0.213
0.709431,0.0650,-0.1281,0.1789,0.229
0.714034,0.0604,-0.1366,0.1749,0.230
0.719008,0.0511,-0.1592,0.1708,0.239
0.724537,0.0181,-0.1865,0.1714,0.254
0.728953,-0.0051,-0.2089,0.2005,0.290
0.733381,-0.0519,-0.2073,0.2056,0.297
0.739086,-0.0555,-0.1866,0.2344,0.305
0.745655,-0.0733,-0.1472,0.2345,0.286
0.752079,-0.0815,-0.1222,0.2109,0.257
0.753170,-0.0801,-0.0879,0.1828,0.218
0.762089,-0.0739,-0.0301,0.1501,0.170
0.765162,-0.0631,0.0129,0.1129,0.130
0.769410,-0.0523,0.0414,0.0713,0.098
0.772672,-0.0654,0.0650,0.0158,0.094
0.778419,-0.0498,0.0838,-0.0108,0.098
0.788780,-0.0343,0.0978,-0.0039,0.104
0.789351,-0.0426,0.0928,-0.0208,0.104
0.821342,-0.0224,0.0929,-0.0138,0.097
0.821924,-0.0165,0.1074,-0.0115,0.109
0.822207,-0.0107,0.0839,-0.0045,0.085
0.822642,0.0094,0.0844,-0.0026,0.085
0.822939,0.0199,0.0755,-0.0103,0.079
0.823158,0.0113,0.0811,-0.0086,0.082
0.823370,0.0028,0.0677,-0.0023,0.068
0.829167,0.0181,0.0449,0.0040,0.049
0.834625,0.0191,0.0223,0.0007,0.029
0.841625,0.0343,0.0093,0.0212,0.041
0.844981,0.0541,-0.0037,0.0178,0.057
0.851838,0.0452,-0.0165,0.0144,0.050
0.852792,0.0697,-0.0246,0.0251,0.078
0.858155,0.0844,-0.0518,0.0311,0.104
