time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001620,0.3274,0.4010,0.0050,0.518
0.005421,0.2055,0.4479,-0.0179,0.493
0.017027,0.0751,0.4044,-0.0400,0.413
0.017403,0.0502,0.2998,-0.0616,0.310
0.017626,0.1015,0.2056,-0.0691,0.239
0.024122,0.0433,0.1311,-0.0011,0.138
0.029036,-0.1236,0.1191,0.0189,0.173
0.041754,-0.3033,0.1790,-0.0229,0.353
0.042293,-0.4386,0.2301,-0.1164,0.509
0.042687,-0.4776,0.2203,-0.1857,0.558
0.048928,-0.3973,0.1312,-0.1120,0.433
0.062603,-0.3176,0.0246,0.0468,0.322
0.062884,-0.1863,-0.0476,0.1333,0.234
0.063100,-0.0798,-0.1000,0.0955,0.160
0.069712,0.0021,-0.1664,0.0195,0.168
0.073932,0.0311,-0.2373,0.0055,0.239
0.077539,0.0076,-0.2558,0.0819,0.269
0.082935,-0.0206,-0.2079,0.1010,0.232
0.088031,0.0179,-0.1415,0.0632,0.156
0.096045,0.0561,-0.0759,0.0492,0.106
0.098847,0.0845,-0.0110,0.0350,0.092
0.103714,0.1411,0.0388,0.0160,0.147
0.109262,0.1971,0.0497,0.0970,0.225
0.113546,0.1860,0.0220,0.1682,0.252
0.119272,0.2034,-0.0013,0.1633,0.261
0.131636,0.1825,-0.0154,0.1209,0.219
0.132259,0.1141,-0.0346,0.1123,0.164
0.132652,0.0795,-0.0871,0.0236,0.120
0.140661,0.0877,-0.1059,0.0082,0.138
0.144615,0.2234,-0.0062,-0.1795,0.287
0.151420,0.2816,0.1058,-0.1920,0.357
0.160662,0.2015,0.1830,0.1696,0.321
0.160983,0.1794,0.1403,0.4215,0.479
0.163051,0.0342,0.1262,0.3418,0.366
0.168318,-0.1666,0.1173,0.0394,0.208
0.173583,-0.4037,0.1190,-0.2031,0.467
0.177865,-0.6813,0.0939,-0.2250,0.724
0.182213,-0.6523,-0.2949,-0.1000,0.723
0.189982,-0.3383,-0.8893,-0.0157,0.952
0.194503,-0.2216,-0.7717,0.3187,0.864
0.198478,-0.1534,-0.5841,0.5171,0.795
0.208578,-0.1287,-0.4271,0.5244,0.688
0.209157,-0.0804,-0.3429,0.1944,0.402
0.215395,0.0149,-0.2882,-0.1095,0.309
0.219583,0.0573,-0.2200,-0.1217,0.258
0.228439,0.0138,-0.1334,0.1036,0.169
0.228737,-0.0389,-0.0900,0.2465,0.265
0.232493,-0.0720,-0.0469,0.1889,0.208
0.238391,-0.0907,-0.0373,0.0654,0.118
0.242404,-0.1044,-0.0464,-0.0049,0.114
0.247757,-0.1037,-0.0268,-0.0081,0.107
0.253473,-0.1077,-0.0164,0.0599,0.124
0.257972,-0.1021,-0.0059,0.1181,0.156
0.263358,-0.0681,-0.0143,0.1377,0.154
0.267650,-0.0343,-0.0414,0.1382,0.148
0.273916,-0.0055,-0.0777,0.1387,0.159
0.277648,0.0135,-0.0899,0.1343,0.162
0.282658,0.0277,-0.1114,0.1253,0.170
0.288097,0.0607,-0.1185,0.1258,0.183
0.295193,0.0508,-0.1112,0.1357,0.183
0.297977,0.0694,-0.1087,0.1501,0.198
0.303920,0.0547,-0.1062,0.1594,0.199
0.308659,0.0212,-0.0942,0.1637,0.190
0.314423,-0.0026,-0.1061,0.1680,0.199
0.319082,-0.0262,-0.1037,0.1770,0.207
0.337930,-0.0544,-0.1109,0.1765,0.215
0.339651,-0.0823,-0.1135,0.1854,0.232
0.340720,-0.0958,-0.1116,0.1942,0.244
0.341425,-0.0997,-0.1001,0.1887,0.236
0.358534,-0.1036,-0.0938,0.1689,0.219
0.358978,-0.0932,-0.0780,0.1682,0.208
0.359239,-0.0735,-0.0769,0.1629,0.195
0.359502,-0.0444,-0.0615,0.1435,0.162
0.362988,-0.0204,-0.0276,0.1574,0.161
0.367724,0.0034,-0.0034,0.1569,0.157
0.373064,0.0413,0.0016,0.1514,0.157
0.378077,0.0552,0.0207,0.1365,0.149
0.383068,0.0737,0.0398,0.1309,0.155
0.387254,0.0683,0.0491,0.1348,0.159
0.393591,0.0345,0.0488,0.1339,0.147
0.398706,0.0200,0.0388,0.1186,0.126
0.407802,0.0008,0.0147,0.1129,0.114
0.408662,-0.0324,0.0194,0.0881,0.096
0.415114,-0.0511,0.0241,0.0919,0.108
0.419461,-0.0648,0.0052,0.0813,0.104
0.423530,-0.0689,0.0103,0.0946,0.117
0.429455,-0.0492,0.0202,0.0791,0.095
0.442939,-0.0297,0.0251,0.0829,0.092
0.444543,-0.0151,0.0109,0.1009,0.103
0.445244,-0.0102,0.0062,0.1189,0.119
0.447422,-0.0243,0.0109,0.1082,0.111
0.456383,-0.0194,0.0061,0.0929,0.095
0.458027,-0.0144,0.0012,0.1060,0.107
0.463007,-0.0095,0.0060,0.0954,0.096
0.477117,-0.0094,0.0154,0.1085,0.110
0.477585,-0.0093,0.0245,0.1119,0.115
0.477801,-0.0140,0.0288,0.1392,0.143
0.484796,-0.0043,0.0377,0.1186,0.125
0.487572,-0.0043,0.0418,0.1124,0.120
0.493821,0.0005,0.0363,0.1014,0.108
0.498424,0.0053,0.0452,0.0953,0.106
0.502672,0.0100,0.0540,0.0798,0.097
0.508707,0.0099,0.0390,0.0739,0.084
0.513628,0.0099,0.0336,0.0774,0.085
0.519205,0.0193,0.0234,0.0714,0.078
0.528685,0.0239,0.0276,0.0654,0.075
0.529148,0.0237,0.0221,0.0689,0.076
0.535799,0.0141,0.0355,0.0628,0.073
0.538055,-0.0098,0.0488,0.0662,0.083
0.543788,-0.0240,0.0524,0.0554,0.080
0.547696,-0.0286,0.0654,0.0589,0.093
0.554022,-0.0474,0.0735,0.0579,0.105
0.557680,-0.0612,0.0866,0.0379,0.113
0.563125,-0.0418,0.1043,0.0278,0.116
0.567435,-0.0320,0.1220,0.0082,0.126
0.572310,-0.0317,0.1350,0.0030,0.139
0.577953,-0.0219,0.1384,0.0027,0.140
0.582786,-0.0265,0.1088,-0.0165,0.113
0.587664,-0.0262,0.0889,-0.0305,0.098
0.593035,-0.0355,0.0884,-0.0303,0.100
0.598477,-0.0446,0.0879,-0.0159,0.100
0.604181,-0.0536,0.0780,-0.0065,0.095
0.609486,-0.0578,0.0495,-0.0211,0.079
0.613586,-0.0619,0.0451,-0.0024,0.077
0.617742,-0.0564,0.0312,0.0115,0.065
0.622184,-0.0320,0.0174,0.0489,0.061
0.628638,-0.0126,-0.0248,0.0576,0.064
0.639227,0.0019,-0.0335,0.0473,0.058
0.640230,0.0163,-0.0469,0.0323,0.059
0.644753,0.0211,-0.0507,0.0268,0.061
0.647505,0.0401,-0.0543,0.0260,0.072
0.652633,0.0400,-0.0674,0.0203,0.081
0.657046,0.0351,-0.0852,0.0147,0.093
0.662490,0.0398,-0.0979,0.0185,0.107
0.668965,0.0208,-0.1153,0.0747,0.139
