time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003866,0.0227,-0.1139,-0.2477,0.274
0.004561,-0.0083,-0.1416,-0.2036,0.248
0.014795,-0.0256,-0.1665,-0.1459,0.223
0.049462,-0.0561,-0.2025,-0.0886,0.228
0.050107,-0.0862,-0.2093,0.2125,0.311
0.050483,-0.1020,-0.2281,0.2388,0.346
0.055266,-0.1171,-0.2318,0.2762,0.379
0.065985,-0.0909,-0.2344,0.2712,0.370
0.075666,-0.0504,-0.2226,0.2775,0.359
0.084628,0.4539,0.2102,0.2527,0.560
0.100511,0.4417,0.2191,0.2227,0.541
0.104435,0.4441,0.2261,0.2011,0.537
0.114882,0.4474,0.2318,0.1756,0.534
0.129599,0.4646,0.2504,0.1483,0.548
0.135988,0.0322,0.2673,0.1207,0.295
0.145773,0.0218,0.2538,0.1071,0.276
0.154524,0.0106,0.0052,0.0814,0.082
0.166266,0.0124,-0.0015,0.0846,0.086
0.176234,-0.0000,-0.0108,0.0894,0.090
0.176891,-0.0000,-0.0108,0.0894,0.090
0.192586,-0.0129,-0.0626,0.1090,0.126
0.195146,-0.0124,-0.1015,0.1158,0.154
0.212887,-0.0118,-0.1248,0.1233,0.176
0.214803,-0.0112,-0.1591,0.1314,0.207
0.223890,-0.0242,-0.1776,0.1401,0.228
0.235257,-0.0234,-0.1943,0.1489,0.246
0.245454,-0.0224,-0.2099,0.1434,0.255
0.254707,-0.0210,-0.2234,0.1509,0.270
0.265110,-0.0328,-0.2189,0.1446,0.264
0.288452,-0.0443,-0.2230,0.1385,0.266
0.289537,-0.0419,-0.2105,0.1324,0.252
0.298647,-0.0256,-0.1965,0.1261,0.235
0.316479,-0.0229,-0.1821,0.1192,0.219
0.317385,-0.0201,-0.1541,0.1116,0.191
0.345145,-0.0308,-0.1268,0.1034,0.166
0.346061,-0.0279,-0.1003,0.0949,0.141
0.346521,-0.0252,-0.0749,0.0866,0.117
0.356590,-0.0227,-0.0370,0.0651,0.078
0.365261,-0.0477,0.2308,0.0578,0.243
0.375295,-0.3181,0.2525,0.0510,0.409
0.397173,-0.3298,0.2863,0.0445,0.439
0.398119,-0.3283,0.3170,0.0246,0.457
0.405787,-0.3271,0.3568,-0.0086,0.484
0.415022,-0.3128,0.6219,-0.0281,0.697
0.429516,-0.3127,0.6213,-0.0339,0.696
0.436846,-0.2995,0.6421,-0.0668,0.712
0.444055,-0.2459,0.6583,-0.1130,0.712
0.455885,0.1748,0.6570,-0.4441,0.812
0.465652,0.5537,0.6656,-0.7316,1.134
0.475038,1.0266,0.6441,-0.7693,1.435
0.484393,1.4433,0.6350,-1.2360,2.004
0.494121,1.8568,0.5828,-1.5934,2.515
0.510814,1.8435,0.2151,-1.5503,2.418
0.514236,1.8263,-0.1927,-1.5046,2.374
0.523812,1.8204,-0.6639,-1.4354,2.411
0.536101,1.7985,-1.1141,-1.3551,2.512
0.545043,1.7741,-1.6171,-1.2607,2.711
0.555574,1.3661,-2.0044,-1.1253,2.674
