time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003047,0.2492,0.0525,-0.1052,0.276
0.014158,-0.0014,-0.2424,-0.0547,0.249
0.022311,-0.0205,-0.2505,-0.0176,0.252
0.038796,-0.0259,-0.2576,0.0190,0.260
0.042734,-0.0306,-0.2764,0.0532,0.283
0.052993,-0.0209,-0.2920,0.0848,0.305
0.062891,0.0171,-0.3033,0.1000,0.320
0.072658,0.0560,-0.3101,0.1266,0.340
0.087358,0.0820,-0.3126,0.1379,0.351
0.093465,0.1091,-0.5423,0.1601,0.576
0.101682,0.1238,-0.5227,0.1642,0.562
0.121648,0.1266,-0.4999,0.4614,0.692
0.122163,0.1035,-0.4746,0.4531,0.664
0.133549,0.0814,-0.4755,0.4540,0.662
0.153287,-0.3485,-0.8557,0.4379,1.022
0.154070,-0.3420,-0.8382,0.4196,0.998
0.169461,-0.3350,-0.8312,0.3996,0.981
0.173157,-0.3277,-1.0648,0.3786,1.177
0.186610,-0.3200,-1.0073,0.3703,1.120
0.221547,-0.2713,-0.9586,0.3614,1.060
0.222168,0.9080,-0.9190,0.3524,1.339
0.222700,0.9020,-0.8635,0.3162,1.288
0.223058,0.9093,-0.4141,0.2935,1.041
0.234014,0.9292,1.1702,0.2576,1.516
0.252004,0.9346,1.2057,0.2234,1.542
0.252818,0.3671,1.2334,0.1777,1.299
0.266643,0.3708,1.2565,0.1482,1.318
0.282635,0.3735,1.2658,0.1214,1.325
0.283330,0.3344,0.9207,0.0971,0.984
0.307392,0.2941,0.5433,0.0887,0.624
0.307946,-0.1421,0.0556,0.0819,0.173
0.314915,-0.1160,-0.0042,0.0899,0.147
0.323139,-0.0768,-0.0545,0.0983,0.136
0.332071,-0.0381,-0.1338,0.1071,0.176
0.344109,-0.0268,-0.1981,0.1164,0.231
0.352925,-0.0150,-0.2522,0.1252,0.282
0.369622,-0.0161,-0.2957,0.1329,0.325
0.371642,-0.0165,-0.3172,0.1669,0.359
0.383786,-0.0029,-0.3480,0.1867,0.395
0.393568,-0.0023,-0.3720,0.1924,0.419
0.402108,0.0128,-0.3827,0.2117,0.438
0.413418,0.0018,-0.3655,0.2179,0.426
0.423574,0.0048,-0.3537,0.2111,0.412
0.432546,-0.0194,-0.3123,0.1907,0.366
0.444994,-0.0436,-0.2714,-0.0751,0.285
0.454411,-0.0680,-0.2187,-0.1232,0.260
0.462162,-0.0792,-0.1682,-0.4018,0.443
0.462850,-0.0792,-0.1682,-0.4018,0.443
0.472321,-0.1043,-0.1065,-0.4205,0.446
0.481797,-0.1161,-0.0744,-0.4251,0.447
0.498435,-0.1011,-0.0445,-0.4417,0.455
0.502412,-0.0732,-0.0301,-0.4409,0.448
0.513466,-0.0601,-0.0172,-0.4201,0.425
0.524993,-0.0346,-0.0054,-0.3918,0.393
0.531595,-0.0240,-0.0221,-0.3300,0.332
0.542803,0.0273,-0.3126,0.0461,0.317
0.554038,0.0513,-0.3181,0.0947,0.336
0.562078,0.0894,-0.3107,0.3579,0.482
0.572264,0.1144,-0.3176,0.3998,0.523
0.581948,0.1535,-0.3116,0.4249,0.549
0.601838,0.1929,-0.3190,0.4622,0.594
0.602525,0.2193,-0.2847,0.4822,0.601
0.611899,0.2471,-0.2486,0.4948,0.606
0.622534,0.2495,-0.1827,0.4841,0.574
0.631853,0.2536,-0.1415,0.4776,0.559
0.644251,0.2450,-0.0989,0.4387,0.512
0.653020,0.2505,-0.0557,0.3964,0.472
0.662377,0.2288,-0.0269,0.3532,0.422
0.672423,-0.1471,0.0004,0.3098,0.343
0.681753,-0.1694,0.0259,0.2542,0.307
0.700841,-0.1785,0.0363,0.2009,0.271
0.701661,-0.2018,0.0590,0.1502,0.258
0.713070,-0.2120,0.0797,0.1157,0.254
0.723215,-0.2091,0.0977,0.0835,0.245
0.733706,-0.1793,0.1264,0.0531,0.226
0.742221,-0.1498,0.1521,0.0375,0.217
0.753769,-0.1205,0.1619,0.0089,0.202
0.762994,-0.1051,0.1700,-0.0043,0.200
0.771865,-0.0901,0.1771,-0.0154,0.199
0.782282,-0.0619,0.1833,-0.0239,0.195
0.800701,-0.0341,0.1617,-0.0705,0.180
0.801880,-0.0204,0.1261,-0.1005,0.163
0.812136,-0.0070,0.0903,-0.1281,0.157
0.822262,0.0061,0.0681,-0.1535,0.168
0.832446,0.0189,0.0463,-0.1772,0.184
0.841803,0.0587,0.0250,-0.2131,0.222
0.853229,0.0846,0.0179,-0.4914,0.499
0.862836,0.1100,0.0115,-0.4804,0.493
0.872452,0.1350,-0.0079,-0.4665,0.486
0.882544,0.1460,-0.0129,-0.4498,0.473
0.901779,0.1702,-0.0174,-0.4305,0.463
0.902505,0.1804,-0.0486,-0.3818,0.425
0.913007,0.1904,-0.3508,-0.3451,0.528
0.922190,0.2002,-0.3375,-0.2936,0.490
0.931705,0.1964,-0.3345,-0.2281,0.450
0.943312,0.2064,-0.3279,-0.1765,0.426
0.953207,0.2029,-0.3179,-0.1390,0.402
0.962423,0.2133,-0.3185,-0.0889,0.393
0.975993,0.2103,-0.3031,-0.0544,0.373
0.982465,0.2078,-0.2723,-0.0221,0.343
1.001131,0.2191,-0.2405,0.0219,0.326
1.002566,0.2443,-0.2081,0.0645,0.327
1.013427,0.7328,-0.1755,0.0918,0.759
1.022514,0.7178,-0.1430,0.1031,0.739
1.031853,0.7167,-0.0984,0.1250,0.734
1.043385,0.7162,-0.0693,0.1303,0.731
1.052839,0.7162,-0.0421,0.4179,0.830
1.064280,0.3628,-0.0166,0.4155,0.552
1.073051,0.3232,0.0075,0.4095,0.522
1.082103,0.2978,-0.6911,0.4005,0.852
1.102838,0.2725,-0.6819,0.1181,0.744
1.103740,0.0020,-0.6717,0.0807,0.676
1.114080,-0.5408,-0.6589,0.0570,0.854
1.122842,-0.5389,-0.6421,0.0339,0.839
1.132043,-0.5372,0.3430,-0.0020,0.637
1.143291,-0.5358,1.2424,-0.6769,1.513
1.152873,-0.1531,1.2635,-1.1604,1.722
1.162087,-0.1526,1.2649,-1.1634,1.725
1.172285,-0.1535,1.2587,-1.1583,1.717
1.181737,-0.1562,1.2314,-1.1440,1.688
1.202634,-0.1603,0.5875,-1.1211,1.276
1.203372,0.2147,0.1038,-1.0325,1.060
1.213615,0.2336,-0.1661,-0.6892,0.746
1.222072,0.2783,-0.2080,-0.6254,0.715
1.231544,0.2944,-0.2662,-0.5576,0.684
1.243579,0.3234,-0.3395,-0.4880,0.677
1.252161,0.3382,-0.4103,-0.4177,0.676
1.262711,0.3533,-0.4752,-0.3360,0.681
1.272300,0.3555,-0.5482,-0.2451,0.698
1.285508,0.3725,-0.8595,0.1400,0.947
1.302652,0.3780,-0.8543,0.2043,0.956
1.303391,0.3861,-0.8319,0.5317,1.060
1.314002,0.3825,-0.7996,0.5657,1.051
1.330011,0.3934,-0.7571,0.5825,1.033
1.331977,0.3787,-0.6681,0.5785,0.961
1.343275,0.1071,-0.5775,0.5788,0.825
1.353072,0.0964,-0.5147,0.5558,0.764
1.361502,0.1009,-0.4398,0.5108,0.682
1.372410,0.1067,-0.3806,0.4729,0.616
1.382099,0.1132,-0.3646,0.4439,0.585
1.401215,0.1202,-0.8261,0.3982,0.925
1.401828,0.1678,-1.1508,0.3930,1.228
1.411204,0.2013,-1.1606,0.3883,1.240
1.421913,0.2341,-1.1540,0.3719,1.235
1.433314,0.2523,-1.1304,0.3577,1.212
1.444095,0.2696,-1.1031,0.3456,1.187
1.452524,0.2588,-1.0585,0.3354,1.140
1.463304,0.2606,-1.0102,0.3136,1.089
1.471884,0.2479,-0.9586,0.2936,1.033
1.481907,0.2477,-0.8905,0.2753,0.964
1.498285,0.2193,-0.8063,0.2585,0.875
1.502212,0.1901,-0.7202,0.2565,0.788
1.511340,0.1602,-0.5954,0.2417,0.662
1.521805,0.1168,-0.2460,0.2408,0.363
1.533227,0.0872,-0.1764,0.2399,0.310
1.542821,0.0716,-0.0865,0.2253,0.252
1.552158,0.0564,-0.0164,0.2108,0.219
1.561972,0.0141,0.0491,0.1967,0.203
1.575620,-0.0141,0.0950,0.1830,0.207
1.582392,-0.0416,0.1462,0.1699,0.228
1.601656,-0.0546,0.1469,0.1574,0.222
1.602561,-0.0668,0.1259,0.1454,0.204
1.614639,-0.4326,-0.1719,0.1610,0.493
1.625597,-0.4441,-0.1593,0.1902,0.509
1.632119,-0.4553,-0.1621,0.2058,0.525
1.642673,-0.4938,-0.1650,0.2213,0.566
1.652936,-0.9408,-0.1815,0.2360,0.987
1.662964,-1.2649,0.1011,0.2496,1.293
1.671884,-1.3163,0.1105,0.2616,1.347
1.681866,-1.7759,0.1053,0.2581,1.798
1.701576,-2.0443,0.0990,0.2524,2.062
1.702449,-2.5847,0.0916,0.2444,2.598
1.712393,-3.2609,-0.3251,0.2471,3.286
1.722377,-4.0182,-0.3862,0.2450,4.044
1.731957,-4.6252,-0.4189,0.2245,4.650
1.742985,-4.9318,-0.4518,0.5526,4.983
1.753048,-4.9382,-0.4853,0.5362,4.991
1.762684,-4.9308,-0.5188,0.8429,5.029
1.775958,-4.9094,-0.5115,1.0645,5.050
1.782401,-4.9013,-0.0011,1.4990,5.125
1.800528,-4.5249,0.5069,1.4385,4.775
1.801589,-3.8351,1.2427,1.3767,4.260
1.813147,-2.9547,2.1926,1.3156,3.907
1.822708,-2.0856,3.2739,1.2461,4.077
1.832627,-1.0903,4.2921,1.1520,4.576
1.843809,-0.1352,4.7939,0.4882,4.821
1.852557,0.6969,4.6837,-0.4941,4.761
1.863007,1.3908,4.5330,-1.4320,4.953
1.872296,1.4281,4.3550,-1.4812,4.817
1.881657,1.4611,4.1361,-1.4971,4.635
1.902876,1.4880,3.3625,-1.5043,3.973
1.906136,1.4935,2.2489,-1.4714,3.075
1.915382,1.4910,0.9033,-1.4132,2.244
1.923007,0.7873,-0.3054,-0.9572,1.276
1.933629,0.2436,-1.3787,-0.8672,1.647
