time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001620,0.2293,-0.0072,0.1823,0.293
0.005362,0.3177,-0.0668,0.1652,0.364
0.011150,0.2772,-0.0932,0.1572,0.332
0.012906,0.1564,-0.0767,0.1300,0.217
0.026913,0.0413,-0.0129,0.0839,0.094
0.027640,-0.0206,0.0410,0.0243,0.052
0.027947,-0.0441,0.0852,-0.0344,0.102
0.032737,-0.0626,0.0912,-0.0876,0.141
0.039018,-0.0763,0.0734,-0.1356,0.172
0.042316,-0.0804,0.0559,-0.1308,0.163
0.049338,-0.0607,0.0531,-0.0834,0.116
0.052597,-0.0601,0.0550,-0.0648,0.104
0.059805,-0.0500,0.0524,-0.0367,0.081
0.064262,-0.0733,0.0501,-0.0135,0.090
0.069256,-0.0822,0.0146,-0.0190,0.086
0.073961,-0.0957,-0.0156,-0.0052,0.097
0.078912,-0.1424,-0.0309,0.0086,0.146
0.083418,-0.1129,-0.3168,0.1418,0.365
0.090358,0.1107,-0.9580,0.3138,1.014
0.096037,-0.3182,-0.2310,-0.0810,0.401
0.099870,-0.2305,-0.0367,-0.1214,0.263
0.107505,-0.2289,0.0994,-0.1621,0.298
0.108139,-0.2746,0.2209,-0.1031,0.367
0.116488,-0.2202,0.1997,-0.0119,0.298
0.117379,-0.0711,0.0982,0.0261,0.124
0.123272,-0.0040,-0.0215,0.0257,0.034
0.128178,0.0197,-0.0879,-0.0030,0.090
0.142658,0.0148,-0.0873,-0.0031,0.089
0.143529,0.0005,-0.0963,-0.0363,0.103
0.144049,0.0242,-0.0907,-0.0501,0.106
0.153414,0.0430,-0.0852,-0.0734,0.120
0.153794,0.0284,-0.0654,-0.0776,0.105
0.158003,0.0187,-0.0553,-0.0628,0.086
0.164123,0.0138,-0.0547,-0.0626,0.084
0.168084,0.0185,-0.0587,-0.0576,0.084
0.173596,0.0232,-0.0676,-0.0337,0.079
0.179073,0.0421,-0.0479,-0.0101,0.065
0.185012,0.0466,-0.0570,-0.0341,0.081
0.188425,0.0700,-0.0470,-0.0628,0.105
0.194133,0.0932,-0.0467,-0.0770,0.130
0.198972,0.1068,-0.0370,-0.0768,0.137
0.205379,0.1202,-0.0180,-0.0577,0.135
0.210624,0.1240,-0.0183,-0.0150,0.126
0.212888,0.0851,-0.0093,-0.0204,0.088
0.218414,0.0228,0.0092,-0.0400,0.047
0.233184,-0.0200,0.0229,-0.0406,0.051
0.234251,-0.0245,0.0318,-0.0362,0.054
0.234787,-0.0147,0.0217,-0.0223,0.034
0.245414,-0.0429,0.0355,-0.0465,0.073
0.245913,-0.0662,0.0586,-0.0515,0.102
0.251708,-0.0608,0.0532,-0.0517,0.096
0.252194,-0.0459,0.0526,-0.0472,0.084
0.257340,-0.0312,0.0425,-0.0618,0.081
0.262755,-0.0165,0.0468,-0.0669,0.083
0.268022,-0.0067,0.0463,-0.0720,0.086
0.273103,-0.0160,0.0505,-0.0583,0.079
0.277963,-0.0014,0.0407,-0.0494,0.064
0.283236,0.0084,0.0355,-0.0359,0.051
0.287146,0.0370,0.0209,-0.0320,0.053
0.293588,0.0606,0.0063,-0.0614,0.087
0.298422,0.0794,-0.0035,-0.0908,0.121
0.303641,0.1027,-0.0226,-0.0962,0.143
0.307241,0.1069,-0.0323,-0.1064,0.154
0.313744,0.1157,-0.0326,-0.0976,0.155
0.331922,0.1008,-0.0377,-0.0746,0.131
0.333267,0.0907,-0.0429,-0.0614,0.118
0.333819,0.0807,-0.0433,-0.0531,0.106
0.334240,0.0851,-0.0296,-0.0450,0.101
0.339205,0.0799,-0.0445,-0.0417,0.101
0.343481,0.0559,-0.0545,-0.0671,0.103
0.348035,0.0462,-0.0502,-0.0733,0.100
0.352697,0.0414,-0.0461,-0.0748,0.097
0.358645,0.0461,-0.0561,-0.0998,0.123
0.364621,0.0460,-0.0566,-0.0818,0.110
0.368915,0.0412,-0.0714,-0.0496,0.096
0.372298,0.0411,-0.0671,-0.0317,0.085
0.377273,0.0124,-0.0485,-0.0091,0.051
0.382435,-0.0350,-0.0301,0.0182,0.050
0.388240,-0.0725,-0.0071,0.0168,0.075
0.392074,-0.1287,0.0064,0.0394,0.135
0.399744,-0.1608,0.0056,0.0430,0.167
0.402716,-0.1831,0.0240,0.0325,0.187
0.410146,-0.1910,0.0235,0.0364,0.196
0.414026,-0.1941,0.0421,0.0405,0.203
0.419167,-0.1829,0.0324,0.0209,0.187
0.422136,-0.1766,0.0371,0.0112,0.181
0.427104,-0.1514,0.0420,0.0206,0.158
0.434983,-0.1311,0.0328,0.0160,0.136
0.437463,-0.1016,0.0286,0.0304,0.110
0.446387,-0.0723,0.0291,0.0448,0.090
0.446994,-0.0290,0.0250,0.0591,0.070
0.452977,-0.0240,0.0161,0.0686,0.074
0.459241,-0.0191,0.0167,0.0589,0.064
0.463903,-0.0190,0.0173,0.0446,0.052
0.467537,-0.0141,0.0132,0.0353,0.040
0.473351,0.0002,-0.0100,0.0450,0.046
0.477509,-0.0094,-0.0094,0.0546,0.056
0.483875,-0.0093,-0.0137,0.0546,0.057
0.488351,0.0002,-0.0275,0.0593,0.065
0.494843,-0.0046,-0.0176,0.0497,0.053
0.499093,-0.0047,-0.0172,0.0543,0.057
0.502956,-0.0047,0.0020,0.0589,0.059
0.508976,0.0048,-0.0027,0.0539,0.054
0.512426,0.0000,0.0209,0.0441,0.049
0.519311,0.0142,0.0205,0.0392,0.046
0.522241,0.0093,0.0201,0.0390,0.045
0.527467,0.0139,0.0291,0.0435,0.054
0.538246,0.0138,0.0334,0.0432,0.056
0.539997,0.0184,0.0424,0.0096,0.047
0.544009,0.0135,0.0465,0.0142,0.050
0.548993,0.0181,0.0457,0.0093,0.050
0.554920,0.0132,0.0404,0.0282,0.051
0.558495,0.0321,0.0255,0.0232,0.047
0.562814,0.0365,0.0346,0.0421,0.066
0.568567,0.0552,0.0247,0.0465,0.076
0.573702,0.0642,0.0337,0.0461,0.086
0.577829,0.0589,0.0425,0.0457,0.086
