time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006702,0.3915,-0.0136,-0.0771,0.399
0.007041,0.4307,-0.4405,0.2348,0.659
0.013446,0.0467,-0.4468,0.3505,0.570
0.015886,-0.0066,-0.2397,0.2522,0.348
0.021007,-0.1164,-0.0247,0.0789,0.143
0.027298,-0.0733,0.0415,-0.0598,0.103
0.030926,0.0026,0.0503,-0.0307,0.059
0.037592,0.0778,0.0351,-0.0111,0.086
0.041781,0.0907,0.0339,-0.2101,0.231
0.046356,-0.2715,0.2044,-0.2706,0.434
0.053150,-0.3930,0.2558,-0.2411,0.527
0.056960,-0.4183,0.2367,-0.1265,0.497
0.061782,-0.3342,0.1664,0.0206,0.374
0.065625,-0.1699,0.0636,0.1804,0.256
0.072749,-0.0830,-0.0096,0.2157,0.231
0.080396,-0.0350,-0.0490,0.0804,0.100
0.083328,-0.0112,-0.0596,-0.1054,0.122
0.087070,-0.0492,-0.0320,-0.1946,0.203
0.091818,-0.0584,-0.0044,-0.1838,0.193
0.097479,-0.0580,0.0231,-0.1210,0.136
0.102868,-0.0623,0.0363,-0.0683,0.099
0.106876,-0.0617,0.0400,-0.0446,0.086
0.112144,-0.0565,0.0105,-0.0306,0.065
0.118052,-0.0417,0.0051,-0.0168,0.045
0.122561,-0.0414,0.0140,0.0113,0.045
0.127237,-0.0221,-0.0011,0.0250,0.033
0.133012,-0.0029,0.0173,0.0103,0.020
0.137372,0.0066,0.0355,-0.0090,0.037
0.142686,0.0349,0.0488,-0.0138,0.062
0.145849,0.0298,0.0430,-0.0186,0.056
0.153598,0.0343,0.0561,-0.0329,0.074
0.157110,0.0292,0.0406,-0.0423,0.065
0.161489,0.0241,0.0442,-0.0659,0.083
0.166343,-0.0046,0.0574,-0.0703,0.091
0.172876,-0.0284,0.0991,-0.0985,0.143
0.182347,0.0051,0.1072,-0.0124,0.108
0.183031,0.0002,0.1294,0.0398,0.135
0.187750,-0.0283,0.1133,0.0109,0.117
0.192626,-0.0234,0.1164,-0.0131,0.119
0.198049,-0.0185,0.1053,-0.0701,0.128
0.202220,-0.0327,0.1040,-0.0648,0.127
0.206513,-0.0325,0.1026,-0.0406,0.115
0.210966,-0.0180,0.0917,-0.0118,0.094
0.218194,-0.0084,0.1001,0.0073,0.101
0.221894,-0.0131,0.0942,-0.0021,0.095
0.229078,-0.0226,0.0978,0.0124,0.101
0.232883,-0.0320,0.0922,0.0173,0.099
0.239741,-0.0222,0.0581,0.0316,0.070
0.243819,-0.0364,0.0385,0.0411,0.067
0.247103,-0.0314,0.0332,0.0695,0.083
0.251648,-0.0549,0.0468,0.0931,0.118
0.266204,-0.0641,0.0273,0.0975,0.120
0.267337,-0.0779,0.0221,0.0783,0.113
0.268163,-0.0631,0.0265,0.0877,0.111
0.273795,-0.0580,0.0261,0.0973,0.116
0.287101,-0.0434,0.0352,0.0784,0.096
0.287743,-0.0195,0.0205,0.0501,0.058
0.287989,-0.0147,0.0201,0.0316,0.040
0.292297,0.0043,0.0246,0.0370,0.045
0.296747,0.0231,0.0148,0.0375,0.046
0.301354,0.0418,-0.0044,0.0569,0.071
0.307098,0.0556,-0.0092,0.0570,0.080
0.311575,0.0455,0.0002,0.0382,0.059
0.317206,0.0450,0.0047,0.0335,0.056
0.322144,0.0493,-0.0097,0.0573,0.076
0.327827,0.0584,-0.0002,0.0761,0.096
0.331073,0.0579,-0.0003,0.0567,0.081
0.337669,0.0384,-0.0004,0.0373,0.053
0.342815,0.0333,-0.0148,0.0275,0.046
0.346173,0.0235,-0.0148,0.0084,0.029
0.352955,0.0185,-0.0148,0.0036,0.024
0.356285,0.0183,-0.0337,-0.0060,0.039
0.363667,-0.0103,-0.0383,-0.0107,0.041
0.365968,-0.0055,-0.0332,-0.0106,0.035
0.370901,0.0088,-0.0282,0.0037,0.030
0.375817,-0.0055,-0.0280,0.0227,0.037
0.383462,-0.0007,0.0006,0.0463,0.046
0.394307,-0.0102,0.0101,0.0506,0.053
0.395272,-0.0101,0.0099,0.0643,0.066
0.395904,-0.0290,0.0335,0.0589,0.074
0.403084,-0.0525,0.0427,0.0678,0.096
0.407181,-0.0663,0.0519,0.0717,0.111
0.411767,-0.0799,0.0468,0.0520,0.106
0.416136,-0.0698,0.0562,0.0278,0.094
0.421242,-0.0692,0.0654,0.0135,0.096
0.426334,-0.0639,0.0747,0.0184,0.100
0.430652,-0.0633,0.0555,0.0092,0.085
0.438082,-0.0439,0.0411,0.0001,0.060
0.442515,-0.0340,0.0221,-0.0136,0.043
0.448123,-0.0195,0.0223,-0.0129,0.032
0.451964,0.0091,0.0130,0.0116,0.020
0.457296,0.0137,0.0037,0.0170,0.022
0.463818,0.0087,0.0039,0.0272,0.029
0.467142,0.0133,-0.0150,0.0087,0.022
0.471121,0.0131,-0.0004,-0.0144,0.019
0.476106,0.0129,0.0141,-0.0279,0.034
0.480954,0.0223,0.0237,-0.0319,0.046
0.494467,0.0315,0.0143,-0.0167,0.038
0.496209,0.0359,0.0335,0.0125,0.051
0.496988,0.0451,0.0619,-0.0061,0.077
0.502297,0.0542,0.0711,-0.0103,0.090
0.506672,0.0537,0.0803,-0.0239,0.099
0.510426,0.0579,0.0798,-0.0375,0.106
0.516028,0.0764,0.0747,-0.0415,0.115
0.521147,0.0900,0.0791,-0.0361,0.125
0.525192,0.0892,0.0833,-0.0640,0.138
0.533941,0.0979,0.0874,-0.0775,0.152
0.535720,0.0924,0.0868,-0.0577,0.139
0.541111,0.0631,0.0908,-0.0525,0.122
0.545331,0.0388,0.0805,-0.0425,0.099
0.550552,0.0005,0.0894,-0.0374,0.097
0.555545,-0.0185,0.0837,-0.0228,0.089
0.562182,-0.0231,0.0782,0.0108,0.082
0.565747,-0.0420,0.0821,0.0299,0.097
0.571008,-0.0655,0.0764,0.0301,0.105
0.575452,-0.0935,0.0802,-0.0077,0.123
0.580782,-0.1309,0.0744,-0.0259,0.153
0.586753,-0.1394,0.0736,-0.0298,0.160
0.592130,-0.1526,0.0396,0.0094,0.158
0.597786,-0.1515,0.0250,0.0389,0.158
0.600636,-0.1267,-0.0083,0.0732,0.147
0.606192,-0.1116,-0.0174,0.0930,0.146
0.610074,-0.0776,-0.0406,0.1034,0.136
0.616813,-0.0677,-0.0634,0.1329,0.162
0.620936,-0.0341,-0.0908,0.1336,0.165
0.625033,-0.0197,-0.1131,0.1059,0.156
0.630175,-0.0150,-0.1398,0.0927,0.168
0.635339,-0.0104,-0.1616,0.0986,0.190
0.640277,0.0085,-0.1784,0.0998,0.205
0.645193,0.0083,-0.1902,0.0868,0.209
0.650601,0.0080,-0.1927,0.0832,0.210
0.655344,0.0077,-0.1857,0.0654,0.197
0.660206,0.0027,-0.1739,0.0714,0.188
0.665802,-0.0260,-0.1434,0.0821,0.167
0.669945,-0.0449,-0.1367,0.0737,0.162
0.675263,-0.0447,-0.1301,0.0843,0.161
0.681187,-0.0540,-0.1139,0.0757,0.147
0.686540,-0.0584,-0.1025,0.0720,0.138
0.690449,-0.0390,-0.1007,0.0777,0.133
0.695037,-0.0435,-0.1083,0.0786,0.141
0.700306,-0.0338,-0.0874,0.0604,0.111
0.706491,-0.0241,-0.0808,0.0757,0.113
0.710240,-0.0192,-0.0791,0.0812,0.115
0.715693,-0.0191,-0.0871,0.0725,0.115
0.720061,0.0047,-0.0949,0.0780,0.123
0.725893,0.0331,-0.1073,0.0644,0.129
0.730403,0.0422,-0.0961,0.0318,0.110
0.735645,0.0513,-0.0849,0.0088,0.100
0.740166,0.0746,-0.0739,-0.0094,0.105
0.745203,0.0787,-0.0773,-0.0181,0.112
0.751000,0.0876,-0.0759,-0.0315,0.120
0.756306,0.1011,-0.0745,-0.0639,0.141
0.760671,0.1098,-0.0637,-0.0915,0.156
0.765632,0.1279,-0.0578,-0.1094,0.178
0.770594,0.1363,-0.0189,-0.1177,0.181
0.776955,0.1352,0.0102,-0.1260,0.185
0.780175,0.1341,0.0483,-0.1533,0.209
0.790018,0.1425,0.0577,-0.1709,0.230
0.790824,0.1366,0.0716,-0.1838,0.240
0.799608,0.1117,0.0710,-0.1682,0.214
0.800071,0.0681,0.0989,-0.1623,0.202
0.805200,0.0248,0.1265,-0.1612,0.206
0.809786,-0.0229,0.1397,-0.1553,0.210
0.815110,-0.0606,0.1243,-0.1494,0.204
0.820442,-0.0791,0.0998,-0.1245,0.178
0.826027,-0.0974,0.0755,-0.1093,0.165
0.830001,-0.0965,0.0372,-0.0704,0.125
0.834925,-0.1052,0.0135,-0.0553,0.120
0.840511,-0.1185,-0.0003,-0.0403,0.125
0.845368,-0.1223,-0.0045,-0.0205,0.124
0.850731,-0.0975,0.0057,0.0136,0.099
0.855055,-0.0445,0.0158,0.0285,0.055
0.859686,-0.0062,0.0354,0.0482,0.060
0.864800,0.0270,0.0453,0.0346,0.063
0.870121,0.0362,0.0503,0.0070,0.062
0.876733,0.0642,0.0694,-0.0154,0.096
0.879740,0.0778,0.1215,-0.0282,0.147
0.885115,0.0865,0.1540,-0.0693,0.190
0.889694,0.0809,0.1626,-0.1100,0.212
0.895412,0.0658,0.1806,-0.1550,0.247
0.899587,0.0508,0.1985,-0.1570,0.258
0.904812,0.0503,0.1973,-0.1922,0.280
0.909754,0.0402,0.2009,-0.1891,0.279
0.914664,0.0350,0.1854,-0.2005,0.275
0.920017,0.0108,0.1843,-0.1691,0.250
0.924928,-0.0037,0.1831,-0.1284,0.224
0.930394,-0.0132,0.1771,-0.1214,0.215
0.934888,-0.0228,0.1569,-0.0954,0.185
0.939860,-0.0275,0.1274,-0.1074,0.169
0.944861,-0.0275,0.0839,-0.0859,0.123
0.950034,-0.0180,0.0313,-0.0596,0.070
0.955542,0.0152,0.0170,-0.0333,0.040
0.963426,0.0195,-0.0115,-0.0262,0.035
0.964896,0.0286,-0.0493,0.0046,0.057
0.969763,0.0376,-0.0726,0.0444,0.093
0.974948,0.0608,-0.0957,0.0505,0.124
0.979880,0.0696,-0.1234,0.0563,0.152
0.985522,0.0783,-0.1509,0.0667,0.183
0.990013,0.0822,-0.1830,0.0769,0.215
0.997808,0.1051,-0.1817,0.1013,0.233
0.999861,0.1135,-0.1947,0.1159,0.253
1.006645,0.1171,-0.1886,0.1445,0.265
1.009607,0.1065,-0.1874,0.1442,0.259
1.014753,0.0864,-0.1721,0.1533,0.246
1.019785,0.0523,-0.1472,0.1433,0.212
1.025217,0.0375,-0.1271,0.1428,0.195
1.029717,0.0182,-0.1165,0.1325,0.177
1.034705,-0.0010,-0.1012,0.1174,0.155
1.039722,-0.0342,-0.0906,0.1356,0.167
1.044659,-0.0672,-0.0754,0.1346,0.168
1.049455,-0.0856,-0.0461,0.1192,0.154
1.054853,-0.1133,-0.0359,0.0850,0.146
1.059906,-0.1360,-0.0113,0.0321,0.140
1.064671,-0.1491,0.0035,-0.0109,0.150
1.069679,-0.1336,0.0228,-0.0153,0.136
1.074869,-0.1135,0.0231,-0.0006,0.116
1.079865,-0.0793,0.0423,0.0141,0.091
1.090119,-0.0597,0.0567,0.0051,0.082
1.090582,-0.0450,0.0709,0.0105,0.085
1.100728,-0.0161,0.0662,-0.0079,0.069
1.101846,0.0315,0.0523,-0.0025,0.061
1.104840,0.0740,0.0574,0.0218,0.096
1.109616,0.1067,0.0149,0.0316,0.112
1.114619,0.1533,-0.0131,0.0174,0.155
1.119424,0.1568,-0.0361,-0.0159,0.162
1.124680,0.1461,-0.0448,-0.0397,0.158
1.129441,0.1497,-0.0441,-0.0256,0.158
1.134641,0.1248,-0.0389,-0.0069,0.131
1.139563,0.1049,-0.0102,0.0163,0.107
1.144439,0.0851,-0.0006,0.0108,0.086
1.149396,0.0560,0.0181,-0.0042,0.059
1.154862,0.0460,0.0271,-0.0429,0.069
1.159706,0.0410,0.0312,-0.0576,0.077
1.164475,0.0265,0.0543,-0.0627,0.087
1.169752,0.0216,0.0678,-0.0678,0.098
1.176762,0.0215,0.0812,-0.0444,0.095
1.179870,0.0166,0.0756,-0.0545,0.095
1.190060,-0.0024,0.0698,-0.0502,0.086
1.190977,-0.0308,0.0595,-0.0221,0.071
1.201008,-0.0352,0.0539,-0.0085,0.065
1.201611,-0.0443,0.0486,-0.0043,0.066
1.204679,-0.0772,0.0433,0.0047,0.089
1.210412,-0.0765,0.0333,0.0137,0.085
1.215751,-0.0948,0.0235,0.0132,0.099
1.219869,-0.1082,0.0044,0.0508,0.120
1.226463,-0.0978,-0.0099,0.0550,0.113
1.231144,-0.1017,-0.0145,0.0545,0.116
1.237133,-0.0961,-0.0141,0.0779,0.124
