time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002695,0.2191,-0.0499,0.0115,0.225
0.015189,-0.0672,-0.0501,0.0401,0.093
0.022371,-0.0673,-0.0628,0.0550,0.107
0.032462,-0.0673,-0.0744,0.0833,0.130
0.043983,-0.0672,-0.0717,0.0978,0.139
0.064219,-0.0670,-0.0687,0.1122,0.148
0.064983,-0.0668,-0.0789,0.0990,0.143
0.079810,-0.0664,-0.0751,0.0988,0.141
0.097631,-0.0659,-0.0846,0.0975,0.145
0.098308,-0.0514,-0.0803,0.0813,0.125
0.112875,-0.0504,-0.0759,0.0502,0.104
0.113751,-0.0356,-0.0715,0.0180,0.082
0.154152,-0.0344,-0.0670,-0.0147,0.077
0.154892,-0.0196,-0.0626,-0.0335,0.074
0.155341,-0.0185,-0.0581,-0.0517,0.080
0.155783,0.2413,-0.0944,-0.0418,0.262
0.164498,0.2422,-0.1305,-0.0176,0.276
0.175665,0.2430,-0.1388,-0.0064,0.280
0.182489,0.2438,-0.1605,0.0051,0.292
0.191606,0.2445,-0.1682,0.0176,0.297
0.218834,0.2314,-0.1620,0.0176,0.283
0.219458,0.2044,-0.1151,0.0323,0.237
0.227510,0.1910,-0.0820,0.0342,0.211
0.232433,0.1639,-0.0491,0.0365,0.175
0.245141,0.1367,-0.0028,0.0524,0.146
0.262798,0.1095,0.0294,0.0546,0.126
0.263516,0.0823,0.0475,0.0567,0.111
0.279653,0.0687,0.0651,0.0718,0.119
0.282520,0.0552,0.0820,0.0726,0.123
0.296978,0.0555,0.0712,0.0724,0.116
0.313615,0.0559,0.0600,0.0712,0.109
0.314517,0.0563,0.0205,0.0693,0.092
0.360725,0.0567,-0.0068,0.0667,0.088
0.361649,0.0570,-0.0219,0.0636,0.088
0.362135,0.0574,-0.0513,0.0601,0.098
0.362551,0.0442,-0.0672,0.0700,0.107
0.362981,0.0447,-0.0827,0.0662,0.115
0.371598,0.0451,-0.0977,0.0625,0.124
0.383602,0.0320,-0.1122,0.0724,0.137
0.397818,0.0325,-0.1128,0.0688,0.136
0.402460,0.0331,-0.1259,0.0653,0.146
0.412872,0.0338,-0.1370,0.0620,0.154
0.421458,0.0347,-0.1457,0.0587,0.161
0.431803,0.0630,-0.1523,0.0555,0.174
0.444381,0.0913,-0.1439,0.0524,0.178
0.452311,0.1061,-0.1485,0.0495,0.189
0.461782,0.1208,-0.1392,0.0330,0.187
0.472188,0.1355,-0.1435,0.0303,0.200
0.483124,0.1502,-0.1343,0.0142,0.202
0.497150,0.1648,-0.1252,0.0121,0.207
0.502049,0.1657,-0.1165,0.0103,0.203
0.512150,0.1665,-0.1217,-0.0046,0.206
0.532327,0.1671,-0.1136,-0.0055,0.202
0.532970,0.1678,-0.1058,-0.0061,0.198
0.542709,0.1683,-0.0984,-0.0063,0.195
0.551975,0.1687,-0.0914,-0.0061,0.192
0.561902,0.1691,-0.0848,-0.0055,0.189
0.572739,0.1693,-0.0785,-0.0043,0.187
0.582369,0.1694,-0.0726,-0.0162,0.185
0.591643,0.1558,-0.0670,-0.0548,0.178
0.613293,0.1421,-0.0482,-0.0792,0.170
0.614025,0.1418,-0.0435,-0.0892,0.173
0.623193,0.1278,-0.0391,-0.1121,0.174
0.632479,0.1136,-0.0352,-0.1341,0.179
0.641437,0.0993,-0.0317,-0.1417,0.176
0.654299,0.0984,-0.0286,-0.1621,0.192
0.663119,0.0838,-0.0393,-0.1680,0.192
0.673429,0.0826,-0.0367,-0.1731,0.195
0.683351,0.0813,-0.0342,-0.1774,0.198
0.696778,0.0934,-0.0456,-0.1809,0.209
0.702823,0.1055,-0.0435,-0.1701,0.205
0.711872,0.1174,-0.0415,-0.1587,0.202
0.728191,0.1156,-0.0398,-0.1471,0.191
0.731649,0.1138,-0.0381,-0.1217,0.171
0.741878,0.1256,-0.0229,-0.0966,0.160
0.753397,0.1239,-0.0214,-0.0720,0.145
0.762226,0.1223,-0.0198,-0.0481,0.133
0.774466,0.1208,-0.0182,-0.0253,0.125
0.791296,0.1195,-0.0302,0.0101,0.124
0.792200,0.1048,-0.0421,0.0308,0.117
0.811750,0.1039,-0.0539,0.0642,0.133
0.812462,0.0758,-0.0656,0.0834,0.130
0.821184,0.0479,-0.0636,0.1149,0.140
0.832591,-0.2110,-0.0615,0.1439,0.263
0.841821,-0.2380,-0.0458,0.1567,0.289
0.853699,-0.2646,-0.0165,0.1807,0.321
0.862197,-0.2772,0.2575,0.2026,0.429
0.871391,-0.2895,0.2861,0.2225,0.464
0.883062,-0.2878,0.3284,0.2268,0.492
0.891488,-0.2860,0.3835,0.2158,0.525
0.912221,-0.2568,0.6403,0.2174,0.723
0.913056,0.0581,0.6470,0.2049,0.681
0.922503,0.1003,0.6745,0.1923,0.708
0.932226,0.3735,0.6810,0.1798,0.797
0.941792,0.3874,0.6809,0.1675,0.801
0.951825,0.4008,0.6616,0.1418,0.786
0.962013,0.4137,0.6383,-0.1693,0.779
0.973467,0.4533,0.6117,-0.1930,0.785
0.982170,0.4785,0.5429,-0.5003,0.880
0.992534,0.5031,0.4872,-0.5190,0.872
1.011044,0.5272,0.4450,-0.5492,0.882
1.011864,0.5369,0.3896,-0.5756,0.878
1.024811,0.5183,0.3359,-0.5952,0.858
1.032779,0.4847,0.2982,-0.8641,1.035
1.042031,0.4357,0.2632,-0.8497,0.991
1.052170,0.3852,0.2312,-0.8118,0.928
1.063020,0.3471,0.2020,-0.7660,0.865
1.072566,0.0219,0.1757,-0.7280,0.749
1.082134,-0.0041,0.1250,-0.6741,0.686
1.091411,-0.0303,-0.4270,-0.5923,0.731
1.112482,-0.0697,-0.8940,-0.5261,1.040
1.113185,-0.0945,-0.9057,-0.4628,1.021
1.122664,-0.1179,-0.9086,-0.3892,0.995
1.137563,-0.1393,-0.9004,-0.3193,0.965
1.143522,-0.1587,-0.8802,-0.2671,0.933
1.151309,-0.1625,-0.5100,-0.2196,0.579
1.163800,-0.1786,0.1090,-0.1769,0.274
1.172043,-0.1399,0.6979,-0.1384,0.725
1.182880,0.2393,1.1041,-0.1168,1.136
1.191409,0.2643,1.4502,-0.0976,1.477
1.210535,0.5752,1.4937,-0.0800,1.603
1.212311,0.5861,1.5305,-0.3092,1.668
1.212760,0.5861,1.5305,-0.3092,1.668
1.225500,0.6085,1.5547,-0.2955,1.695
1.232510,0.6148,1.5276,-0.2828,1.671
1.242366,0.6189,1.1814,-0.2712,1.361
1.252928,0.2402,0.6860,-0.2342,0.764
1.263109,-0.1123,0.1450,0.1013,0.209
1.273451,-0.1245,-0.3121,0.1230,0.358
1.288462,-0.1361,-0.6928,0.1584,0.724
1.291669,-0.1465,-1.0621,0.1939,1.090
1.311871,-0.1555,-1.1487,0.2152,1.179
1.312602,-0.1634,-1.2153,0.2490,1.251
1.323276,-0.1244,-1.2497,0.2520,1.281
1.332493,-0.0938,-1.2446,0.2643,1.276
1.343364,-0.0462,-1.2217,0.2604,1.250
1.352697,0.2228,-1.1231,0.2141,1.165
1.362518,0.2346,-0.7254,-0.1322,0.774
1.373455,0.2603,-0.5952,-0.1658,0.670
1.382548,0.2985,-0.1543,-0.4984,0.601
1.392409,0.3215,-0.0468,-0.5304,0.622
1.410811,0.3427,0.0386,-0.5610,0.659
1.411680,0.3754,0.1151,-0.5747,0.696
1.425644,0.6510,0.1699,-0.5831,0.890
1.432882,0.6379,0.2184,-0.5979,0.901
1.442277,0.6493,0.2608,-0.5903,0.915
1.451590,0.6439,0.2948,-0.5874,0.920
1.462646,0.6352,0.3161,-0.5901,0.923
1.473198,0.6103,0.3107,-0.5745,0.894
1.482034,0.5836,0.2952,-0.5568,0.859
1.491335,0.5285,0.2867,-0.5380,0.807
1.513172,0.2414,0.2617,-0.5062,0.619
1.514073,0.1995,0.2363,-0.4892,0.579
1.525096,0.1305,0.2254,-0.4737,0.541
1.533317,-0.1969,0.2025,-0.4599,0.540
1.542230,-0.2242,0.1813,-0.4477,0.532
1.555172,-0.2238,0.1619,-0.4371,0.517
1.562753,-0.2363,0.1448,-0.4155,0.499
1.573938,-0.2611,0.1303,-0.4110,0.504
1.582874,-0.2845,0.1184,-0.4106,0.513
1.591401,-0.3066,0.1090,-0.4277,0.537
1.610624,-0.3274,0.1016,-0.4209,0.543
1.611473,-0.3746,0.1367,-0.4302,0.587
1.623291,-1.2378,0.1735,-0.4289,1.321
1.633273,-2.3032,0.2124,0.4242,2.352
1.642733,-2.3309,0.5117,0.8477,2.532
