time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001728,0.0830,0.6585,0.0276,0.664
0.009684,0.0669,0.6196,0.0384,0.624
0.015193,0.0365,0.5898,0.0356,0.592
0.027237,0.0192,0.5297,0.0601,0.533
0.035233,0.0017,0.2509,0.0710,0.261
0.045324,-0.0160,0.2172,0.0683,0.228
0.056356,-0.0337,0.1431,0.0657,0.161
0.067808,-0.0511,0.0720,0.0630,0.108
0.077833,-0.0545,0.0043,0.0603,0.081
0.085568,-0.0574,-0.0600,0.0574,0.101
0.097591,-0.0597,-0.1069,0.0408,0.129
0.105537,-0.0616,-0.1649,0.0239,0.178
0.115656,-0.0631,-0.2195,0.0070,0.228
0.125802,-0.0636,-0.2680,0.0038,0.275
0.136252,-0.0627,-0.5524,-0.0262,0.557
0.146384,-0.0602,-0.9072,-0.0286,0.910
0.156771,-0.0424,-1.2098,-0.0304,1.211
0.166114,-0.0233,-1.1892,-0.0318,1.190
0.175504,-0.0032,-1.1608,-0.0193,1.161
0.185965,0.0175,-1.1125,-0.0066,1.113
0.196544,0.0522,-1.0589,-0.0073,1.060
0.206424,0.3187,-1.0146,-0.0078,1.063
0.215383,0.3123,-0.3712,-0.0351,0.486
0.226253,0.3189,-0.3014,-0.0618,0.443
0.236591,0.3111,-0.2473,-0.0875,0.407
0.245971,0.2752,-0.1954,-0.0983,0.352
0.256688,0.2384,-0.1470,-0.1215,0.305
0.266416,0.2006,-0.1039,-0.1297,0.260
0.284420,0.1618,-0.0665,-0.1368,0.222
0.286356,0.1358,-0.0474,-0.1293,0.193
0.297068,0.1229,-0.0189,-0.1212,0.174
0.306848,0.0957,0.0032,-0.0719,0.120
0.315991,0.0812,0.0165,-0.0361,0.090
0.325917,0.0661,0.0203,-0.0008,0.069
0.336149,0.0507,0.0324,0.0205,0.064
0.346781,0.0488,0.0697,0.0276,0.089
0.356705,0.0470,0.4043,0.0338,0.408
0.366119,0.0452,0.4234,0.0115,0.426
0.383068,0.0435,0.4539,-0.0391,0.458
0.385574,0.0553,0.7125,-0.0635,0.717
0.396808,0.0805,0.6948,-0.1022,0.707
0.407199,0.1191,0.6867,-0.1142,0.706
0.416338,0.1437,0.6611,-0.1400,0.691
0.426508,0.1542,0.6448,-0.1523,0.680
0.436001,0.1778,0.6245,-0.1645,0.670
0.446171,0.1872,0.6005,-0.1219,0.641
0.457004,0.1689,0.5598,0.1661,0.608
0.466121,0.1229,0.5304,0.1815,0.574
0.476063,-0.1820,0.5010,0.1830,0.564
0.494619,-0.2145,0.4725,0.1841,0.551
0.499920,-0.2333,0.4586,0.1847,0.547
0.506341,-0.2519,0.4336,0.1715,0.530
0.516235,-0.2702,0.4250,0.1440,0.524
0.526400,-0.2879,0.3918,0.1149,0.500
0.536963,-0.2775,0.3748,0.0968,0.476
0.546666,-0.0210,0.3197,0.0759,0.329
0.556248,0.0185,0.2671,0.0388,0.271
0.566113,0.4262,0.2167,0.0137,0.478
0.581325,0.4799,0.1681,-0.0106,0.509
0.587048,0.8331,0.1212,-0.0332,0.843
0.597779,0.8183,0.0762,-0.0813,0.826
0.607105,0.8168,0.0462,-0.4126,0.916
0.615884,0.8144,0.0031,-0.4133,0.913
0.627118,0.8111,-0.0539,-0.4373,0.923
0.636032,0.7661,-0.3704,-0.4579,0.966
0.646411,0.3113,-0.3869,-0.4732,0.686
0.656860,0.0598,-0.4138,-0.4822,0.638
0.666479,0.0258,-0.4218,-0.4991,0.654
0.682948,-0.2401,-0.4370,-0.7418,0.894
0.686523,-0.2609,-0.4315,-0.7207,0.880
0.696227,-0.2818,-0.4332,-0.6952,0.866
0.706878,-0.3167,-0.4163,-0.6660,0.847
0.716432,-0.3380,-0.3954,-0.6348,0.821
0.726360,-0.3586,-0.3713,-0.6054,0.796
0.736196,-0.3645,-0.3580,-0.5660,0.763
0.746522,-0.3828,-0.3156,-0.5175,0.717
