time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003689,0.1477,0.0068,-0.0607,0.160
0.013076,0.1609,0.0230,-0.0709,0.177
0.027907,0.1603,0.0251,-0.0670,0.176
0.034117,0.1594,0.0398,-0.0762,0.181
0.053456,0.1583,0.0533,-0.0715,0.182
0.054259,0.1706,0.0521,-0.0664,0.190
0.063363,0.1963,0.0500,-0.0610,0.212
0.082426,0.2218,0.0336,-0.0552,0.231
0.082950,0.2336,0.0304,-0.0628,0.244
0.093136,0.2589,0.0268,-0.0564,0.266
0.103986,0.2704,0.0365,-0.0634,0.280
0.113403,0.2683,0.0325,-0.0566,0.276
0.134686,0.2388,0.0285,-0.0497,0.246
0.135495,0.1958,0.0245,-0.0429,0.202
0.144135,0.1665,0.0070,-0.0362,0.171
0.162600,0.1236,-0.0102,-0.0434,0.131
0.163193,0.0808,-0.0270,-0.0373,0.093
0.174744,0.0654,-0.0434,-0.0178,0.080
0.184287,0.0365,-0.0593,-0.0123,0.071
0.193103,0.0214,-0.0749,-0.0072,0.078
0.203519,0.0065,-0.0901,-0.0028,0.090
0.212960,-0.0081,-0.1045,0.0009,0.105
0.225388,-0.0087,-0.1041,0.0036,0.104
0.232300,-0.0225,-0.1157,0.0054,0.118
0.246126,-0.0223,-0.1123,0.0065,0.115
0.253284,-0.0218,-0.1077,0.0071,0.110
0.262752,-0.0483,-0.1157,-0.0064,0.126
0.273737,-0.0746,-0.1093,-0.0065,0.133
0.282783,-0.0872,-0.1023,0.0067,0.135
0.292999,-0.0997,-0.1086,0.0061,0.147
0.304377,-0.1120,-0.1145,0.0188,0.161
0.312562,0.2160,-0.1068,0.0454,0.245
0.325262,0.2308,-0.1130,0.0586,0.264
0.333750,0.2591,-0.1192,0.0718,0.294
0.343312,0.2874,-0.1392,0.0849,0.330
0.362090,0.3021,-0.1593,0.0981,0.355
0.362830,0.3166,-0.1797,0.1115,0.381
0.373498,0.3174,-0.1867,0.1117,0.385
0.383240,0.3046,-0.1940,0.1120,0.378
0.392060,0.2917,-0.1877,0.0987,0.361
0.403167,0.2516,-0.1950,0.0850,0.329
0.412560,0.2117,-0.1882,0.0711,0.292
0.427328,0.1855,-0.2080,0.0707,0.288
0.433371,0.1459,-0.2130,0.0698,0.267
0.442180,0.1066,-0.2168,0.0822,0.255
0.457094,0.0947,-0.2194,0.0806,0.252
0.462361,0.0693,-0.2213,0.0789,0.245
0.472593,0.0575,-0.2227,0.0773,0.243
0.482922,0.0458,-0.2239,0.0892,0.245
0.492762,0.0342,-0.2248,0.0870,0.243
0.504740,0.0364,-0.2255,0.0977,0.248
0.513303,0.0387,-0.2125,0.1079,0.241
0.523309,0.0411,-0.2130,0.1042,0.241
0.532799,0.0435,-0.2000,0.1003,0.228
0.542132,0.0459,-0.1735,0.0964,0.204
0.557266,0.0482,-0.1608,0.0925,0.192
0.562391,0.0505,-0.1212,0.0885,0.158
0.572033,0.0800,-0.0822,0.0843,0.142
0.583364,0.0958,-0.0442,0.0799,0.132
0.592760,0.1115,-0.0073,0.0618,0.128
0.602098,0.1270,0.0146,0.0574,0.140
0.613085,0.1424,0.0356,0.0395,0.152
0.622641,0.1303,0.0556,0.0357,0.146
0.632217,0.1044,0.0469,0.0323,0.119
0.642525,0.0917,0.0226,0.0566,0.110
0.654444,0.0788,-0.0172,0.0811,0.114
0.662537,0.0658,-0.0448,0.1059,0.132
0.672294,0.0390,-0.0729,0.1308,0.155
0.682713,0.0122,-0.0874,0.1419,0.167
0.691925,-0.0144,-0.1151,0.1526,0.192
0.703488,-0.0409,0.3329,0.1626,0.373
0.713011,-0.0402,0.3434,0.1990,0.399
0.722117,-0.0393,0.3250,0.2340,0.402
0.733111,-0.0383,0.3324,0.1996,0.390
0.743992,-0.0371,0.3249,0.1638,0.366
0.752876,-0.0359,0.3296,0.1406,0.360
0.763891,-0.0075,0.3052,0.1169,0.327
0.777334,0.0071,0.2918,0.1067,0.311
0.783974,0.0349,0.2356,0.1103,0.262
0.792520,0.0489,0.1912,0.1141,0.228
0.803435,0.0762,0.1455,0.1318,0.211
0.812390,0.1032,0.1121,0.1227,0.196
