time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001246,0.2509,-0.1663,-0.0114,0.301
0.001605,0.3175,-0.2203,0.2701,0.472
0.001862,0.3596,-0.2602,0.4072,0.602
0.005609,0.3441,-0.2432,0.4488,0.616
0.012425,0.3000,-0.2125,0.4337,0.569
0.018217,0.1896,-0.2058,0.4477,0.528
0.020275,-0.0101,-0.1944,0.4237,0.466
0.023941,-0.1225,-0.1634,0.3048,0.367
0.029507,-0.2387,-0.1130,0.2249,0.347
0.034885,-0.2779,-0.0529,0.1081,0.303
0.051697,-0.3171,0.0263,0.0315,0.320
0.051985,-0.3089,0.1007,0.1230,0.347
0.052147,-0.3106,0.1271,0.2339,0.409
0.061081,-0.3078,0.0914,0.2784,0.425
0.061407,-0.0539,-0.1865,0.4899,0.527
0.068311,0.2160,-0.3879,0.6874,0.818
0.078432,0.1932,-0.3612,0.6240,0.746
0.079239,0.0702,-0.2881,0.3632,0.469
0.079631,-0.0996,-0.2062,-0.0416,0.233
0.084526,-0.3914,-0.0765,-0.4902,0.632
0.089526,-0.6613,0.0686,-0.8214,1.057
0.094808,-0.7385,0.1200,-0.8466,1.130
0.100612,-0.6152,0.1158,-0.6680,0.915
0.113732,-0.3644,0.0888,-0.4627,0.596
0.114156,-0.1348,0.0717,-0.2780,0.317
0.133806,0.0120,0.0638,-0.1561,0.169
0.134156,0.0292,0.0936,-0.1485,0.178
0.134349,0.0507,0.1186,-0.1547,0.201
0.134577,0.0482,0.1529,-0.1935,0.251
0.134732,0.0362,0.1775,-0.2317,0.294
0.143060,0.0716,0.1879,-0.2312,0.306
0.143816,0.0830,0.1887,-0.2401,0.316
0.149135,0.0279,0.1942,-0.2681,0.332
0.154764,0.0207,0.1855,-0.2056,0.278
0.159702,0.0469,0.1720,-0.1343,0.223
0.164287,-0.0079,0.1728,-0.1631,0.238
0.171050,-0.0671,0.1358,-0.2248,0.271
0.174365,-0.0403,0.1039,-0.2144,0.242
0.180156,-0.0186,0.0721,-0.2228,0.235
0.184259,-0.0636,0.0358,-0.2690,0.279
0.189942,-0.0750,0.0048,-0.2768,0.287
0.194566,-0.0339,-0.0023,-0.2563,0.259
0.200284,0.0258,-0.0333,-0.2267,0.231
0.204820,0.0757,-0.0643,-0.1978,0.221
0.209706,0.0303,-0.0430,-0.2362,0.242
0.226632,0.0520,-0.0170,-0.1657,0.174
0.227402,0.1780,-0.0297,0.0085,0.181
0.227596,0.0799,0.0385,-0.0186,0.091
0.248040,0.0729,0.0777,0.0494,0.117
0.248327,0.1467,0.0972,0.1926,0.261
0.248466,0.0536,0.1688,0.1876,0.258
0.248600,-0.0292,0.2020,0.1826,0.274
0.255633,-0.0163,0.2111,0.2062,0.296
0.256022,-0.0607,0.2345,0.1922,0.309
0.260552,-0.0858,0.2293,0.1408,0.282
0.264200,-0.0682,0.1817,0.1050,0.221
0.269430,-0.0558,0.1489,0.0228,0.161
0.274314,-0.0293,0.1166,-0.0486,0.130
0.279975,0.0064,0.0610,-0.0715,0.094
0.284656,0.0275,0.0247,-0.1085,0.115
0.289397,0.0391,-0.0113,-0.1026,0.110
0.294273,0.0364,-0.0613,-0.0355,0.080
0.300304,0.0101,-0.0779,0.0400,0.088
0.310294,-0.0444,-0.0610,0.1717,0.188
0.312108,-0.1554,-0.0492,0.2977,0.339
0.315392,-0.2561,-0.0420,0.3851,0.464
0.322613,-0.3562,-0.0064,0.4865,0.603
0.342040,-0.4603,0.0294,0.5833,0.744
0.342676,-0.5211,0.0794,0.6710,0.853
0.342886,-0.5723,0.1246,0.7549,0.955
0.343069,-0.6141,0.1984,0.7972,1.026
0.344566,-0.6180,0.2389,0.8034,1.041
0.349393,-0.6367,0.3033,0.7405,1.023
0.354705,-0.6319,0.3537,0.6517,0.974
0.359717,-0.5752,0.3806,0.5371,0.874
0.363630,-0.4955,0.3844,0.4011,0.744
0.372019,-0.3929,0.3509,0.2816,0.597
0.376304,-0.2767,0.2946,0.1301,0.425
0.380638,-0.1281,0.2108,0.0128,0.247
0.384642,0.0149,0.0947,-0.0614,0.114
0.390713,0.1523,-0.0250,-0.1077,0.188
0.393823,0.2558,-0.1487,-0.1409,0.328
0.399837,0.3493,-0.2576,-0.1803,0.470
