time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001689,0.2730,-0.2761,-0.7394,0.835
0.005951,0.2100,-0.1912,-0.5667,0.634
0.006907,0.1622,-0.0926,-0.2880,0.343
0.012806,0.0864,0.0195,-0.0975,0.132
0.018463,0.0254,0.1122,0.0730,0.136
0.022880,-0.0401,0.2042,0.1624,0.264
0.027913,-0.1243,0.2913,0.1431,0.348
0.040399,-0.1701,0.3212,0.1106,0.380
0.041153,-0.2013,0.3135,0.0456,0.375
0.042055,-0.1848,0.2543,-0.0089,0.314
0.048464,-0.1257,0.1293,0.0461,0.186
0.059247,-0.0101,-0.0279,0.0530,0.061
0.059619,0.0382,-0.1270,0.0451,0.140
0.062904,0.0151,-0.1971,0.0934,0.219
0.067672,-0.0456,-0.3142,0.2403,0.398
0.072994,0.0036,-0.3831,0.2192,0.441
0.079174,0.0429,-0.3614,0.1551,0.396
0.083672,0.0630,-0.3211,0.1438,0.357
0.088035,0.0733,-0.2625,0.1375,0.305
0.093613,0.0786,-0.1857,0.1458,0.249
0.098732,0.0553,-0.1002,0.1163,0.163
0.107634,0.0132,-0.0106,0.1015,0.103
0.108620,-0.0333,0.0688,0.0634,0.099
0.112547,-0.0891,0.1335,0.0257,0.163
0.118336,-0.1158,0.1789,-0.0021,0.213
0.123029,-0.1234,0.2053,-0.0057,0.240
0.127221,-0.1024,0.2032,0.0193,0.228
0.138347,-0.0770,0.1680,0.0445,0.190
0.139958,-0.0708,0.1568,0.0555,0.181
0.144119,-0.0695,0.1315,0.0477,0.156
0.148400,-0.0635,0.0970,0.0545,0.128
0.153007,-0.0577,0.0675,0.0616,0.108
0.157043,-0.0472,0.0431,0.0450,0.078
0.163357,-0.0179,0.0331,0.0144,0.040
0.166862,0.0018,0.0278,0.0030,0.028
0.172821,0.0260,0.0131,-0.0227,0.037
0.177519,0.0406,-0.0015,-0.0295,0.050
0.182088,0.0410,-0.0160,-0.0414,0.060
0.187242,0.0605,-0.0446,-0.0536,0.092
0.193080,0.0609,-0.0542,-0.0471,0.094
0.198542,0.0662,-0.0733,-0.0266,0.102
0.203310,0.0478,-0.0685,-0.0115,0.084
0.209104,0.0248,-0.0638,0.0221,0.072
0.213223,-0.0026,-0.0640,0.0694,0.094
0.217412,-0.0487,-0.0310,0.1257,0.138
0.223570,-0.0945,-0.0172,0.1627,0.189
0.228620,-0.1448,0.0012,0.1951,0.243
0.234452,-0.1663,0.0245,0.1994,0.261
0.239065,-0.1642,0.0337,0.2093,0.268
0.241892,-0.1576,0.0286,0.2012,0.257
0.250746,-0.1324,0.0143,0.1801,0.224
0.252702,-0.1077,-0.0045,0.1554,0.189
0.257413,-0.1024,-0.0276,0.1175,0.158
0.262093,-0.0783,-0.0268,0.0614,0.103
0.271181,-0.0497,-0.0355,0.0533,0.081
0.271603,-0.0259,-0.0345,0.0260,0.050
0.276990,0.0072,-0.0242,0.0128,0.028
0.282673,0.0117,-0.0046,0.0134,0.018
0.288285,0.0067,0.0574,0.0232,0.062
0.292571,-0.0028,0.0905,0.0516,0.104
0.298089,-0.0265,0.1280,0.0747,0.151
0.302193,-0.0547,0.1607,0.1119,0.203
0.307005,-0.0827,0.1741,0.1302,0.233
0.312200,-0.1108,0.1685,0.1491,0.251
0.318878,-0.1294,0.1680,0.1357,0.252
0.322604,-0.1386,0.1486,0.1188,0.235
0.328293,-0.1386,0.1344,0.0840,0.211
