time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000934,0.0517,0.1089,0.3669,0.386
0.003177,0.0556,0.1002,0.3405,0.359
0.007876,0.0545,0.0816,0.2680,0.285
0.013386,0.0342,0.0675,0.2019,0.216
0.018213,-0.0004,0.0581,0.0894,0.107
0.023189,-0.0491,0.0676,-0.0123,0.084
0.030020,-0.1020,0.1103,-0.2036,0.253
0.033350,-0.1495,0.1245,-0.3704,0.418
0.040333,-0.1773,0.1391,-0.4610,0.513
0.043305,-0.1760,0.1398,-0.5526,0.597
0.065465,-0.1221,0.1505,-0.6070,0.637
0.065750,-0.0636,0.1426,-0.5579,0.579
0.065894,-0.0196,0.1634,-0.5200,0.545
0.066026,-0.0089,0.1985,-0.4076,0.453
0.071569,0.0731,0.1574,-0.2351,0.292
0.078134,-0.0450,0.2784,-0.3018,0.413
0.078625,-0.0861,0.3278,-0.1871,0.387
0.085274,-0.0273,0.2298,-0.0393,0.235
0.088151,-0.1116,0.1326,0.0275,0.175
0.098186,-0.1337,-0.0442,0.1092,0.178
0.098685,0.5183,-0.5199,0.5670,0.928
0.103240,0.7227,-0.4626,0.3809,0.939
0.109612,0.3602,-0.1503,-0.2358,0.456
0.113808,0.1624,0.0408,-0.4301,0.462
0.120259,0.0804,0.1783,-0.4431,0.484
0.123499,0.0372,0.2817,-0.4520,0.534
0.131091,0.0325,0.2989,-0.3760,0.481
0.132872,0.0232,0.3018,-0.2344,0.383
0.141805,-0.0288,0.3191,-0.0988,0.335
0.143213,-0.0518,0.3078,0.0263,0.313
0.154047,-0.0937,0.2541,0.1078,0.292
0.154527,-0.1258,0.1916,0.1605,0.280
0.158516,-0.1624,0.1013,0.1990,0.276
0.183720,-0.1799,-0.0072,0.2141,0.280
0.184017,-0.1973,-0.1052,0.1301,0.259
0.184157,-0.2717,-0.1401,-0.0379,0.308
0.184279,-0.2839,-0.1743,-0.0614,0.339
0.184407,-0.2675,-0.2125,-0.0654,0.348
0.190972,-0.1753,-0.2265,-0.0264,0.288
0.199420,-0.1218,-0.2118,-0.0875,0.260
0.199792,-0.0830,-0.1781,-0.1006,0.221
0.202936,0.0077,-0.1637,-0.0422,0.169
0.207859,0.0026,-0.1350,-0.1124,0.176
0.212941,0.1448,-0.1544,0.0129,0.212
0.218305,0.1242,-0.1026,-0.0621,0.173
0.223397,0.0848,-0.0465,-0.0699,0.119
0.227832,0.1312,-0.0338,0.0267,0.138
0.232874,0.0728,-0.0118,0.0082,0.074
0.238483,0.1052,-0.0375,0.0891,0.143
0.242964,0.0187,-0.0393,0.0500,0.066
0.247984,-0.0052,-0.0696,0.0868,0.111
0.253061,-0.0146,-0.0996,0.1326,0.166
0.258011,-0.0145,-0.1105,0.1828,0.214
0.264049,-0.0477,-0.1261,0.1758,0.222
0.269652,-0.0189,-0.1226,0.2548,0.283
0.273635,-0.0475,-0.0811,0.2433,0.261
0.289245,-0.1186,-0.0540,0.1801,0.222
0.289596,-0.0705,-0.0315,0.2413,0.253
0.289758,0.0009,0.0191,0.2454,0.246
0.294712,-0.0756,0.1027,0.1310,0.183
0.298543,-0.0944,0.1622,0.0272,0.190
0.302440,-0.0942,0.1929,0.0243,0.216
0.307876,-0.1225,0.2188,-0.0209,0.252
0.313200,-0.1173,0.2163,-0.0751,0.257
0.318389,-0.1169,0.1951,-0.0954,0.247
0.323307,-0.1166,0.1459,-0.1009,0.212
0.328611,-0.1069,0.0735,-0.0204,0.131
0.333037,-0.0973,0.0256,0.0551,0.115
0.340083,-0.0785,-0.0359,0.1024,0.134
0.345612,-0.0696,-0.0778,0.1409,0.175
0.349710,-0.0467,-0.1051,0.1662,0.202
0.364134,-0.0338,-0.1179,0.1451,0.190
0.364520,-0.0212,-0.1258,0.0728,0.147
0.364660,0.0008,-0.1053,-0.0225,0.108
0.367399,0.0417,-0.0947,-0.0984,0.143
0.373055,0.0967,-0.0699,-0.1937,0.227
0.378255,0.1468,-0.0405,-0.2562,0.298
0.383201,0.2109,-0.0306,-0.2674,0.342
0.388778,0.2653,-0.0304,-0.2558,0.370
0.393568,0.2813,-0.0350,-0.2596,0.384
0.398109,0.2642,-0.0112,-0.2548,0.367
0.403141,0.2378,-0.0020,-0.2363,0.335
0.408258,0.1643,-0.0119,-0.2042,0.262
0.412960,0.0961,-0.0123,-0.1584,0.186
0.418042,0.0381,0.0063,-0.1416,0.147
0.422557,-0.0148,-0.0037,-0.1437,0.145
0.427541,-0.0578,0.0006,-0.1597,0.170
0.433147,-0.0720,0.0002,-0.1514,0.168
0.437923,-0.0957,0.0046,-0.1570,0.184
0.442785,-0.1193,-0.0002,-0.1477,0.190
0.447975,-0.1284,-0.0098,-0.1524,0.200
0.453100,-0.1186,-0.0143,-0.1473,0.190
0.458135,-0.0946,-0.0330,-0.1041,0.144
0.465650,-0.0803,-0.0465,-0.0658,0.114
0.469745,-0.0662,-0.0645,-0.0608,0.111
0.488164,-0.0522,-0.0728,-0.0604,0.108
0.488516,-0.0241,-0.0903,-0.0597,0.111
0.488668,0.0179,-0.1264,-0.1110,0.169
0.488813,0.0881,-0.1668,-0.1381,0.234
0.492401,0.1388,-0.1928,-0.1791,0.298
0.497864,0.1938,-0.2187,-0.2248,0.369
0.503166,0.2389,-0.2303,-0.2658,0.425
0.508856,0.2600,-0.2612,-0.3073,0.480
0.513271,0.2621,-0.2539,-0.3115,0.480
0.518660,0.2216,-0.2090,-0.2739,0.410
0.523461,0.1674,-0.1742,-0.2329,0.336
0.527934,0.0947,-0.1208,-0.1786,0.235
0.533610,0.0084,-0.0678,-0.1058,0.126
0.538205,-0.0772,-0.0294,-0.0476,0.095
0.543338,-0.1385,0.0134,0.0059,0.139
0.547781,-0.2041,0.0562,0.0456,0.217
0.552591,-0.2361,0.0800,0.1193,0.276
0.557820,-0.2491,0.1038,0.1700,0.319
0.566712,-0.2337,0.1280,0.1887,0.326
0.569568,-0.1997,0.1238,0.2040,0.311
0.573661,-0.1473,0.1529,0.2021,0.293
0.592396,-0.1051,0.1679,0.1496,0.248
0.592770,-0.0825,0.1783,0.0562,0.204
0.592908,-0.0507,0.1793,-0.0448,0.192
0.593040,-0.0430,0.1522,-0.1725,0.234
0.597620,-0.0211,0.1444,-0.2751,0.311
0.602576,0.0006,0.1416,-0.3247,0.354
0.607885,0.0270,0.1578,-0.3457,0.381
0.613872,0.0580,0.1689,-0.3531,0.396
0.617564,0.0842,0.1942,-0.3139,0.379
0.623089,0.0961,0.2095,-0.2237,0.321
0.627645,0.1128,0.2246,-0.1401,0.288
0.633386,0.1010,0.2393,-0.0531,0.265
0.639775,0.0894,0.2442,0.0232,0.261
0.642392,0.0589,0.2537,0.0654,0.268
0.647562,0.0334,0.2678,0.1169,0.294
0.652405,0.0128,0.2724,0.1255,0.300
0.657873,0.0255,0.2863,0.0871,0.300
0.665667,0.0524,0.2765,-0.0123,0.282
0.669617,0.0837,0.2858,-0.1439,0.331
0.673714,0.1481,0.2951,-0.2746,0.430
0.686755,0.2264,0.2854,-0.3577,0.511
0.687229,0.2757,0.3041,-0.3658,0.550
0.687657,0.3202,0.3129,-0.3187,0.550
0.692616,0.3360,0.3026,-0.2026,0.495
0.697647,0.3045,0.2825,-0.0749,0.422
0.702676,0.2211,0.2624,0.0413,0.346
0.708622,0.1147,0.2472,0.1610,0.317
0.713310,-0.0099,0.2273,0.2565,0.343
0.718070,-0.1288,0.1887,0.3049,0.381
0.723316,-0.2375,0.1554,0.3065,0.418
0.727530,-0.2884,0.1180,0.2715,0.413
0.733212,-0.3010,0.0859,0.2334,0.390
0.738385,-0.2899,0.0542,0.1822,0.347
0.742405,-0.2172,0.0276,0.1461,0.263
0.747849,-0.1310,-0.0081,0.0965,0.163
0.753186,-0.0644,-0.0151,0.1041,0.123
0.758215,0.0017,-0.0222,0.1256,0.128
0.763240,0.0340,-0.0199,0.1417,0.147
0.767854,0.0662,-0.0129,0.1476,0.162
0.773661,0.0744,-0.0014,0.1719,0.187
0.787321,0.0683,-0.0089,0.2196,0.230
0.787684,0.0433,0.0076,0.2621,0.266
0.787837,0.0423,-0.0045,0.2759,0.279
0.792613,0.0222,-0.0258,0.2708,0.273
0.797648,0.0213,-0.0516,0.2327,0.239
0.802520,0.0251,-0.0817,0.1904,0.209
0.808550,0.0527,-0.1117,0.1627,0.204
0.812912,0.0421,-0.1555,0.1446,0.216
0.817609,0.0553,-0.2039,0.0884,0.229
0.822914,0.0447,-0.2379,0.0560,0.248
0.828055,0.0438,-0.2718,0.0375,0.278
0.832605,0.0381,-0.2866,0.0234,0.290
0.838995,0.0374,-0.3110,0.0041,0.313
0.842382,0.0414,-0.2974,-0.0157,0.301
0.847651,0.0265,-0.2744,-0.0169,0.276
0.853135,0.0213,-0.2422,-0.0234,0.244
0.857838,0.0495,-0.1911,-0.0209,0.199
0.865958,0.0869,-0.1405,-0.0330,0.168
0.869638,0.1194,-0.0856,-0.0214,0.148
0.873652,0.1373,-0.0359,-0.0099,0.142
0.890206,0.1598,0.0132,0.0158,0.161
0.890598,0.1678,0.0240,0.0178,0.170
0.890763,0.1804,0.0296,0.0297,0.185
0.892283,0.1644,0.0303,0.0225,0.169
0.897629,0.1248,0.0592,-0.0177,0.139
0.902660,0.0618,0.0928,-0.0485,0.122
0.907418,-0.0006,0.0835,-0.0650,0.106
0.913062,-0.0198,0.0695,-0.0532,0.090
0.918262,-0.0482,0.0320,-0.0465,0.074
0.922676,-0.0574,-0.0147,-0.0256,0.065
0.927667,-0.0618,-0.0658,0.0001,0.090
0.932393,-0.0614,-0.1449,0.0209,0.159
0.937391,-0.0373,-0.2091,0.0085,0.213
0.942614,-0.0371,-0.2635,-0.0133,0.266
0.947533,-0.0180,-0.2937,-0.0209,0.295
0.952314,0.0011,-0.3094,-0.0572,0.315
0.958085,0.0390,-0.3157,-0.1128,0.337
0.976024,0.0672,-0.3031,-0.1162,0.331
0.976509,0.0904,-0.2813,-0.1345,0.325
0.976724,0.1040,-0.2550,-0.1344,0.306
0.977185,0.1129,-0.2102,-0.1445,0.279
0.982492,0.1027,-0.1613,-0.1314,0.232
0.987766,0.1021,-0.1036,-0.1094,0.182
0.993626,0.1111,-0.0419,-0.0783,0.142
0.997980,0.1389,0.0382,-0.0760,0.163
1.003099,0.2045,0.1601,-0.1495,0.300
1.007663,0.2077,0.2903,-0.2078,0.413
1.012350,0.1539,0.3810,-0.2035,0.459
1.017762,0.0862,0.4474,-0.2088,0.501
1.022624,0.0430,0.4707,-0.1908,0.510
1.027519,0.0096,0.4416,-0.1305,0.461
1.032563,0.0004,0.3655,-0.0664,0.371
1.037246,-0.0040,0.2709,-0.0128,0.271
1.042486,-0.0368,0.1628,0.0498,0.174
1.047636,-0.0694,0.0459,0.1215,0.147
1.053168,-0.1160,-0.0512,0.2073,0.243
1.057796,-0.1624,-0.1189,0.2694,0.336
1.078589,-0.2037,-0.1385,0.3035,0.391
