time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.011364,0.0069,0.0217,0.0169,0.028
0.013754,-0.0060,0.0193,0.0277,0.034
0.023281,-0.0051,0.0169,0.2832,0.284
0.033309,-0.0176,0.0148,0.2789,0.280
0.042174,-0.0161,-0.0008,0.2736,0.274
0.056419,-0.0142,0.0111,0.2671,0.268
0.063829,-0.0119,0.0095,0.2592,0.260
0.072569,-0.0228,-0.0055,0.2362,0.237
0.083412,0.0076,-0.0204,0.2120,0.213
0.092174,0.0247,-0.0488,0.1729,0.181
0.102043,0.0557,-0.0633,0.1468,0.169
0.112465,0.1003,-0.0638,0.0933,0.151
0.122348,0.1313,-0.0637,0.0671,0.161
0.131743,0.1622,-0.0630,0.0277,0.176
0.142039,0.1790,-0.0615,0.0037,0.189
0.152268,0.1952,-0.0188,-0.0182,0.197
0.162589,0.1836,0.0104,-0.0247,0.186
0.172741,0.1716,0.0258,-0.0434,0.179
0.181674,0.1591,0.0409,-0.0471,0.171
0.192635,0.1461,0.0557,-0.0486,0.164
0.202662,0.1322,0.0702,-0.0340,0.154
0.212871,0.1449,0.0573,-0.0171,0.157
0.222522,0.1436,0.0441,0.0011,0.150
0.232829,0.1557,0.0303,0.0333,0.162
0.242643,0.1543,0.0157,0.0517,0.163
0.257786,0.1529,0.0001,0.0830,0.174
0.263806,0.1245,-0.0162,0.1000,0.161
0.272282,0.0963,-0.0191,0.1164,0.152
0.282286,0.0818,-0.0218,0.1188,0.146
0.292363,0.0675,-0.0106,0.1339,0.150
0.301958,0.0402,-0.0126,0.1203,0.127
0.311970,0.0270,-0.0141,0.1184,0.122
0.322593,0.0007,-0.0152,0.1148,0.116
0.332953,-0.0115,-0.0568,0.0963,0.112
0.342145,-0.0235,-0.0981,0.0906,0.136
0.352402,-0.0352,-0.1249,0.1116,0.171
0.371400,-0.0465,-0.1506,0.3628,0.396
0.372247,-0.0437,-0.1614,0.3538,0.391
0.382224,-0.0131,-0.1437,0.3569,0.385
0.392509,0.2902,0.1192,0.3453,0.467
0.402997,0.2941,0.1498,0.3461,0.478
0.412429,0.2982,0.1794,0.3323,0.481
0.422385,0.3026,0.2082,0.3173,0.485
