time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.023602,0.1292,-0.2358,-0.0289,0.270
0.024457,0.1006,-0.2071,-0.0231,0.231
0.025073,0.0721,-0.1907,-0.0042,0.204
0.029861,0.0438,-0.1598,0.0007,0.166
0.045931,0.0292,-0.1153,0.0187,0.120
0.050891,0.0147,-0.0710,0.0226,0.076
0.062678,0.0138,-0.0426,0.0262,0.052
0.081438,0.0131,-0.0163,0.0293,0.036
0.082291,0.0260,0.0080,0.0319,0.042
0.100050,0.0392,0.0309,0.0475,0.069
0.100841,0.0525,0.0390,0.0487,0.082
0.110913,0.0661,0.0586,0.0491,0.101
0.120706,0.0799,0.0616,0.0487,0.112
0.130308,0.0802,0.0753,0.0477,0.120
0.145258,0.0806,0.0736,0.0327,0.114
0.150895,0.0674,0.0841,0.0448,0.117
0.160931,0.0542,0.0801,0.0432,0.106
0.170784,0.0410,0.1025,0.0416,0.118
0.180065,0.0279,0.1379,0.0399,0.146
0.191468,0.0147,0.1588,0.0654,0.172
0.199762,0.0015,0.1654,0.0772,0.183
0.209914,0.0021,0.1713,0.0887,0.193
0.221878,0.0163,0.1765,0.1001,0.204
0.231320,0.0305,0.1541,0.1111,0.192
0.240957,0.0449,0.1179,0.1081,0.166
0.252135,0.0594,0.0953,0.1183,0.163
0.260390,0.0741,0.0730,0.1143,0.155
0.271712,0.0753,0.0510,0.1098,0.143
0.280923,0.0903,0.0295,0.1048,0.141
0.290438,0.0917,0.0086,0.0723,0.117
0.301138,0.1067,-0.0115,0.0399,0.115
0.310798,0.0945,-0.0172,0.0215,0.098
0.325528,0.0820,-0.0359,0.0036,0.090
0.330745,0.0694,-0.0403,-0.0136,0.081
0.342566,0.0701,-0.0435,-0.0300,0.088
0.350629,0.0571,-0.0452,-0.0049,0.073
0.360437,0.0576,-0.0316,0.0070,0.066
0.371111,0.0580,-0.0167,0.0193,0.063
0.380338,0.0719,-0.0013,0.0322,0.079
0.391832,0.0720,0.0142,0.0457,0.086
0.400353,0.0856,0.0296,0.0597,0.108
0.410318,0.0854,0.0310,0.0739,0.117
0.425686,0.0853,0.0457,0.0743,0.122
0.438692,0.0853,0.0876,0.0880,0.151
0.441599,0.0718,0.1152,0.0877,0.162
0.451760,0.0720,0.1280,0.0871,0.171
0.461096,0.0585,0.1390,0.0999,0.181
0.470407,0.0587,0.1481,0.0989,0.188
0.481453,0.0592,0.1422,0.1106,0.190
0.491203,0.0600,0.1217,0.1209,0.182
0.500730,0.0611,0.1007,0.1301,0.176
0.511130,0.0760,0.0795,0.1250,0.167
0.528998,0.0775,0.0720,0.1466,0.181
0.529849,0.0791,0.0510,0.1541,0.181
0.540118,0.0945,0.0575,0.1612,0.195
0.551722,0.1099,0.0913,0.1544,0.210
0.560038,0.1254,0.1116,0.1745,0.242
0.571120,0.1410,0.3897,0.2077,0.464
0.580245,0.1432,0.4074,0.2539,0.501
0.590016,0.1727,0.4230,0.2855,0.539
0.600515,0.4752,0.4366,0.6553,0.920
0.610089,0.4788,0.4482,0.6411,0.917
0.620337,0.4829,0.4575,0.6245,0.912
0.630681,0.4873,0.4510,0.6061,0.899
0.646476,0.4920,0.4421,0.5862,0.884
0.651370,0.2110,0.4312,0.5373,0.720
0.659851,-0.0968,-0.0157,0.4726,0.483
0.670874,-0.1316,-0.4602,0.4331,0.645
0.680063,-0.3838,-0.8192,0.3783,0.981
0.690579,-0.4179,-0.8343,0.3365,0.992
0.701047,-0.4384,-0.8477,0.3220,1.007
0.710548,-0.4587,-0.8555,0.3215,1.023
0.732086,-0.4649,-0.8529,0.6203,1.153
0.732812,-0.4839,-0.4700,0.5917,0.897
0.742074,-0.4750,-0.0634,0.6028,0.770
0.751433,-0.1526,0.2657,0.5998,0.674
0.760392,0.1560,0.3362,0.6104,0.714
0.770623,0.4097,0.7716,0.6074,1.064
0.780070,0.4179,1.1471,0.5907,1.356
0.791155,0.4259,1.1635,0.5463,1.354
0.801181,0.4338,1.1775,0.4878,1.346
0.809927,0.4409,1.1698,0.4282,1.321
0.820036,0.1882,1.1452,-0.2155,1.180
0.830783,-0.5155,1.1038,-0.2440,1.242
0.844510,-0.5671,0.5296,-0.2695,0.821
0.851098,-0.5929,0.0313,-0.2919,0.662
0.859859,-0.6195,-0.0290,-0.3119,0.694
0.872041,-0.6471,-0.0838,-0.2865,0.713
0.880112,-0.6621,-0.1323,0.0034,0.675
0.891419,-0.2013,-0.1734,-0.0008,0.266
0.901356,0.2454,-0.1798,-0.0005,0.304
0.910307,0.5554,-0.1946,0.0170,0.589
0.920672,0.5792,-0.2042,0.0235,0.615
0.931245,0.6035,-0.2036,0.0185,0.637
0.946543,0.6425,-0.1905,0.0269,0.671
0.950852,0.6690,-0.1797,0.0346,0.694
0.961170,0.6963,-0.1760,0.0277,0.719
0.970925,0.7239,-0.1846,0.0198,0.747
0.979970,0.7513,-0.1945,0.0122,0.776
0.992591,0.7920,-0.1931,0.0052,0.815
1.000562,0.8319,-0.2077,0.0005,0.857
1.010215,0.8574,-0.2246,0.0120,0.886
1.020911,0.8826,-0.2293,0.0109,0.912
1.031174,0.9077,-0.2350,0.0640,0.940
1.058388,0.9466,-0.2414,0.4156,1.062
1.060252,1.2582,-0.1939,0.4389,1.347
1.063302,1.2842,0.1660,0.4467,1.370
1.071852,1.5964,0.1978,0.4527,1.671
1.080192,1.6230,0.2418,0.4839,1.711
1.090340,1.8678,0.2706,0.4997,1.952
1.100576,1.9086,0.2983,0.5001,1.995
1.110904,1.9360,0.3106,0.4852,2.020
1.125345,2.3174,0.3054,0.4697,2.384
1.129880,2.3579,0.2534,0.4541,2.415
1.146032,2.3975,0.2084,0.1129,2.409
1.151072,2.4226,0.1302,0.1006,2.428
1.160046,2.0518,-0.7121,0.0912,2.174
1.170065,2.0483,-0.7353,0.0707,2.177
1.180365,2.0038,-0.7546,-0.2885,2.161
1.192961,1.6052,-0.7699,-0.2923,1.804
1.200872,1.5600,-0.7832,-0.2788,1.768
1.209960,1.1188,-0.5463,-0.2593,1.272
1.223242,1.0988,-0.2331,-0.2320,1.147
1.230538,1.0911,0.0618,-0.1831,1.108
1.244633,1.0547,0.3617,-0.1406,1.124
1.250069,1.0173,0.6620,-0.0946,1.217
1.260416,0.7619,0.7016,-0.3088,1.081
1.272858,0.7387,0.7390,-0.2955,1.086
1.280397,0.7017,0.7570,-0.7748,1.291
1.293745,0.0103,0.7780,-0.7381,1.072
1.300798,-0.8459,0.7840,-0.7017,1.350
1.315755,-1.2262,1.0745,-0.6680,1.762
1.359167,-1.2389,1.0422,-0.6384,1.740
1.360663,-1.5625,0.9940,0.7161,1.986
1.361473,-1.5963,0.9438,2.2187,2.892
