time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002960,0.0798,-0.0700,-0.0286,0.110
0.013049,0.0938,-0.0676,-0.3424,0.361
0.016632,0.1077,-0.0785,-0.3289,0.355
0.033580,0.1215,-0.0893,-0.3284,0.361
0.036362,0.1483,-0.0862,-0.3123,0.356
0.046147,0.1742,-0.1101,-0.2519,0.325
0.067559,0.2127,-0.1200,-0.2149,0.325
0.069799,0.2093,-0.1160,-0.1746,0.296
0.110662,0.2054,-0.0982,-0.1322,0.263
0.111370,0.1876,-0.0939,-0.1028,0.234
0.111891,0.1834,-0.0758,-0.0732,0.211
0.112359,0.1655,-0.0575,-0.0301,0.178
0.116288,0.1478,-0.0391,-0.0011,0.153
0.133119,0.1305,-0.0074,0.0264,0.133
0.137255,0.1137,0.0240,0.0386,0.122
0.149091,0.0971,0.0548,0.0360,0.117
0.180697,0.0946,0.0576,0.0315,0.115
0.181249,0.1064,0.0599,0.0109,0.123
0.181551,0.1190,0.0617,0.0014,0.134
0.188347,0.1184,0.0630,-0.0099,0.134
0.196508,0.1316,0.0359,-0.0086,0.137
0.207337,0.1312,0.0073,-0.0077,0.132
0.216931,0.1444,-0.0224,-0.0069,0.146
0.226673,0.1303,-0.0389,0.0211,0.138
0.236094,0.1026,-0.0554,0.0490,0.126
0.245849,0.0750,-0.0713,0.0903,0.137
0.262656,0.0611,-0.0594,0.1178,0.145
0.266289,0.0338,-0.0470,0.1451,0.156
0.275919,0.0202,-0.0343,0.1584,0.163
0.286368,0.0068,-0.0213,0.1847,0.186
0.296303,-0.0063,-0.0212,0.1964,0.198
0.306738,-0.0051,-0.0203,0.2065,0.208
0.316241,-0.0169,-0.0186,0.2146,0.216
0.326293,-0.0280,-0.0165,0.2070,0.210
0.336538,-0.0250,-0.0144,0.2111,0.213
0.345615,-0.0079,-0.0124,0.2137,0.214
0.362241,0.0095,-0.0105,0.2152,0.216
0.365454,0.0406,0.0047,0.2161,0.220
0.375871,0.0582,0.0469,0.2031,0.216
0.386888,0.0893,0.0616,0.2037,0.231
0.398051,0.1068,0.0893,0.2044,0.247
0.406410,0.1240,0.1159,0.2190,0.277
0.416252,0.1004,0.1548,0.4643,0.500
0.425452,0.0771,0.1784,0.4766,0.515
0.436459,0.0541,0.2003,0.4873,0.530
0.448224,0.0450,0.2068,0.4827,0.527
0.457059,0.0362,0.2255,0.4764,0.528
0.465495,0.3953,0.1883,0.4959,0.662
0.479598,0.3871,-0.2704,0.5004,0.688
0.486712,0.3929,-0.6724,0.5038,0.928
0.496059,0.3995,-0.6776,0.7501,1.087
0.506736,0.4070,-0.6958,1.0064,1.289
0.516067,0.3884,-0.7119,0.9863,1.277
0.525412,0.0443,-0.7358,0.9489,1.202
0.536066,0.0420,-0.7365,0.9229,1.181
0.546319,0.0410,-0.7398,0.9087,1.172
0.569055,0.0410,-0.7201,0.9066,1.158
0.569946,0.0553,-0.6933,0.9026,1.139
0.576258,0.0565,-0.6612,0.8828,1.104
0.586460,0.0580,-0.6247,0.8610,1.065
0.595806,0.0732,-0.5871,0.8233,1.014
0.606991,0.0745,-0.5381,0.7695,0.942
0.617511,0.0890,-0.4786,0.7147,0.865
0.625585,-0.1562,-0.3955,0.6606,0.786
0.639918,-0.5523,-0.0715,0.5809,0.805
0.646102,-0.9358,-0.0106,0.4895,1.056
0.661910,-0.9392,0.0734,-0.0886,0.946
0.666794,-0.9303,0.1271,-0.4305,1.033
0.675613,-0.9361,0.1912,-0.4688,1.064
0.686125,-0.9291,0.2378,-0.5041,1.083
0.696195,-0.9236,0.2929,-0.5333,1.106
0.708222,-0.1027,0.3287,-0.5529,0.651
0.716080,0.4843,0.3446,-0.5604,0.817
0.726311,0.4698,0.3546,-0.5560,0.810
0.736314,0.4670,0.3591,-0.5414,0.800
0.745607,0.4627,0.3453,-0.4919,0.758
0.762236,0.4573,0.3017,-0.4371,0.701
0.765793,0.4510,0.2705,-0.3648,0.640
0.776102,0.4445,0.2113,-0.0195,0.493
0.786276,0.4380,-0.1742,0.0252,0.472
0.796514,0.4452,-0.4490,0.0687,0.636
0.807663,0.4527,-0.7760,0.0975,0.904
0.816754,0.4739,-0.7885,0.1257,0.929
0.825882,0.4817,-0.7981,0.1666,0.947
0.836731,0.4905,-0.8001,0.1901,0.957
0.848087,0.5009,-0.7910,0.2218,0.962
0.856528,0.5131,-0.7289,0.2473,0.925
0.865995,0.5269,-0.3847,0.2530,0.700
0.875363,0.5285,-0.3338,0.2526,0.674
