time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.003148,0.8575,-0.3577,-0.4897,1.050
0.003694,0.7698,-0.2855,-0.7897,1.139
0.008278,0.5009,-0.2799,-0.9182,1.083
0.013985,0.2228,-0.3386,-0.8606,0.951
0.017079,-0.0360,-0.4088,-0.6983,0.810
0.022165,-0.4006,-0.3565,-0.4475,0.698
0.028521,-0.8356,-0.1411,-0.1219,0.856
0.032758,-1.1275,0.3009,0.2520,1.194
0.036406,-1.0672,1.0499,0.6806,1.644
0.041876,-0.7609,1.2725,1.1945,1.904
0.046227,-0.6665,0.9280,1.4130,1.817
0.051397,-1.3302,1.0350,0.9255,1.923
0.055545,-1.6225,1.2419,0.3271,2.069
0.060360,-0.7636,0.9327,0.1874,1.220
0.068535,-0.1007,0.5565,0.1508,0.585
0.069995,-0.2957,0.5289,-0.2030,0.639
0.075395,-0.5362,0.5097,-0.7425,1.048
0.079590,-0.1776,0.2821,-1.1808,1.227
0.089034,0.2708,0.0854,-1.4849,1.512
0.089667,0.3113,0.1208,-1.6553,1.689
0.095187,0.1529,0.2898,-1.6396,1.672
0.099126,0.2303,0.3998,-1.4127,1.486
0.103426,0.5882,0.3842,-0.9226,1.160
0.108086,0.9721,0.2701,-0.2396,1.037
0.113258,1.2611,0.1160,0.4972,1.361
0.117874,1.4381,-0.0816,1.2799,1.927
0.123401,1.4418,-0.3464,1.9478,2.448
0.128321,1.1974,-0.5985,2.1856,2.563
0.132302,0.7730,-0.7358,1.9624,2.234
0.137655,-0.4688,-0.5077,0.2261,0.727
0.142743,-2.3475,-0.3224,-1.8365,2.998
0.146785,-1.9352,-1.0096,-0.7124,2.296
0.151376,-0.5544,-1.5806,1.0735,1.990
0.156300,-0.7799,-1.1739,0.7425,1.593
0.163405,-0.8166,-0.5434,0.2503,1.012
0.171635,-0.4032,-0.0285,0.1913,0.447
0.172016,-0.3060,0.4192,0.2301,0.568
0.176470,-0.3603,0.7469,0.5617,1.002
0.180368,-0.5114,0.9114,1.0385,1.473
0.185922,-0.8194,0.8981,1.4842,1.919
0.190048,-0.9895,0.7013,1.8013,2.172
0.195267,-0.8778,0.3434,1.9072,2.127
0.200411,-0.6509,-0.1093,1.8610,1.975
0.204194,-0.5063,-0.3186,1.5694,1.679
0.209001,-0.5564,-0.1384,1.1353,1.272
0.214269,-0.6969,0.0867,0.9690,1.197
0.218614,-0.7753,0.2393,1.1290,1.390
0.223664,-0.7956,0.4994,1.4034,1.689
0.228452,-0.7899,0.7937,1.6901,2.027
0.233935,-0.8547,1.0146,1.6354,2.106
0.238615,-1.0577,1.2632,1.1895,2.032
0.244866,-1.2739,1.6173,0.6905,2.171
0.252977,-1.3166,2.0889,0.1786,2.476
0.253589,-1.1451,2.3540,-0.3241,2.638
0.257456,-0.8915,2.2672,-0.6358,2.518
0.261757,-0.6690,1.9855,-0.2245,2.107
0.266508,-0.6197,1.6660,0.5295,1.855
0.272100,-0.7249,1.3366,0.6274,1.645
0.276440,-0.9237,1.0432,0.3365,1.433
0.281094,-1.1365,0.8276,0.1096,1.410
0.285953,-1.2629,0.6127,-0.0264,1.404
0.291395,-1.2590,0.3541,-0.0811,1.310
0.295743,-1.1025,0.0689,-0.2172,1.126
0.300341,-0.9574,-0.1318,-0.5528,1.113
0.305625,-0.9394,-0.2405,-0.9237,1.339
0.309936,-0.9882,-0.3025,-1.1883,1.575
